key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l2862,49.256502;12.260379;0.171187,,,
l2863,53.904021;13.185265;0.167470,,,
l2865,42.744967;13.876925;0.185908,,,
l2867,22.560063;14.277801;0.526485,,,
l2868,44.590940;-6.850050;0.672279,,,
l2869,22.980972;13.595921;0.808311,,,
l2870,40.769547;13.651564;0.725253,,,
l2871,41.561189;13.909589;0.742531,,,
l2872,46.872078;-6.629911;0.716419,,,
l2873,50.086678;12.208750;0.874091,,,
l2875,44.374080;13.855498;0.790414,,,
l2876,57.895479;-8.137272;0.937092,,,
l2878,58.654164;-7.630650;0.951521,,,
l2879,60.937073;-7.034922;0.996624,,,
l2881,59.542987;12.737865;1.060495,,,
l2883,65.820968;12.639196;1.181961,,,
l2884,41.944311;13.267791;1.294807,,,
l2885,46.862598;-7.149989;1.324218,,,
l2886,46.666088;12.606202;1.454913,,,
l2887,44.326146;13.298369;1.382663,,,
l2888,41.690874;-5.844561;1.594389,,,
l2889,56.180472;12.679053;1.828438,,,
l2890,61.414236;-6.766475;1.921505,,,
l2891,50.836583;12.501238;2.337941,,,
l2893,39.499937;-5.785745;2.352934,,,
l2894,51.947307;12.532319;2.404975,,,
l2895,53.116694;12.560232;2.475708,,,
l2896,45.367948;12.824345;2.647107,,,
l2897,50.667686;-6.353501;2.845210,,,
l2899,52.128888;12.190287;3.156777,,,
l2900,50.744527;12.264126;3.048162,,,
l2901,42.381759;-6.689045;3.193157,,,
l2902,44.486640;12.855381;3.185444,,,
l2903,45.128948;12.922001;3.250705,,,
l2905,55.545995;12.014034;3.428230,,,
l2906,54.496785;-6.686052;3.945369,,,
l2907,41.890400;-6.205483;4.130405,,,
l2910,44.704819;-6.154788;4.601942,,,
l2913,50.304037;-6.104134;4.861123,,,
l2914,62.766118;-6.272164;4.818519,,,
l2916,39.113712;-5.935743;5.020904,,,
l2917,41.873785;-5.873840;5.138449,,,
l2919,55.670854;-5.389862;5.647939,,,
l2920,42.539032;-5.358638;5.784128,,,
l2921,57.062448;-4.978542;5.849591,,,
l2922,56.712936;8.318283;5.917271,,,
l2923,61.874113;9.698364;5.782508,,,
l2924,61.921586;10.324648;5.809286,,,
l2927,64.418349;8.465733;6.070307,,,
l2928,59.090332;-4.160712;6.142923,,,
l2929,54.000165;9.426490;6.346691,,,
l2930,54.652637;8.523725;6.415033,,,
l2931,50.811240;9.026153;6.510548,,,
l2932,46.788470;10.446819;6.501038,,,
l2936,58.130960;-2.981343;6.838477,,,
l2942,47.928906;7.161118;7.171559,,,
l2943,45.179719;-3.403750;7.512897,,,
l2944,61.308238;0.551389;7.381295,,,
l2945,57.818739;0.473539;7.622511,,,
l2946,53.916225;1.869386;7.635143,,,
l2947,61.966692;3.837483;7.533815,,,
l2949,68.470081;6.441632;7.629225,,,
l2950,56.984389;6.978822;7.599518,,,
l2951,67.724395;6.888146;7.527103,,,
l2952,51.168759;-3.882459;7.784740,,,
l2953,54.714604;-2.498060;7.812566,,,
l2954,59.106326;2.934660;7.902789,,,
l2955,63.947571;5.862921;7.922716,,,
l2956,51.884017;-3.257840;7.940874,,,
l2958,51.643429;5.144564;7.954174,,,
l2959,55.136215;6.136712;8.017646,,,
l2962,66.308950;2.132708;8.267253,,,
l2963,56.550805;2.963057;8.232489,,,
l2967,44.919493;7.187142;8.906468,,,
l3254,41.501963;-7.260484;0.567605,,,
l3262,47.346545;-6.710573;1.189079,,,
l3266,37.526926;13.310568;1.820450,,,
l3267,43.402692;-5.715383;1.872257,,,
l3268,48.758434;12.959607;1.985780,,,
l3270,47.149077;13.243689;1.905829,,,
l3273,56.747188;-6.401354;2.282463,,,
l3275,53.447003;-6.129957;2.714664,,,
l3277,40.362310;-6.058822;3.119203,,,
l3279,45.357380;-6.412836;3.477719,,,
l3280,48.487933;-6.353746;3.386727,,,
l3281,45.957348;13.060307;3.463115,,,
l3282,45.101047;-5.711814;3.882168,,,
l3284,56.639347;12.125412;3.911481,,,
l3285,39.526819;-5.983411;4.065978,,,
l3288,59.795878;11.341481;4.203498,,,
l3290,50.784184;12.269544;4.601444,,,
l3293,56.544967;-6.365935;5.125508,,,
l3294,69.468349;-6.496218;5.067338,,,
l3295,68.432352;11.581282;5.107814,,,
l3296,56.345020;10.921894;5.308034,,,
l3297,69.976551;11.179985;5.257766,,,
l3299,46.431317;-5.588971;5.624550,,,
l3303,62.112713;-4.643587;5.922858,,,
l3306,59.913556;10.837900;5.821664,,,
l3307,48.368097;-5.625147;6.082273,,,
l3311,62.563155;8.713412;6.123299,,,
l3312,56.584991;10.217496;6.051458,,,
l3313,68.207215;10.110335;6.024942,,,
l3314,59.657513;-3.927776;6.324006,,,
l3315,72.895877;-4.973922;6.485521,,,
l3316,46.401229;9.542217;6.483658,,,
l3318,73.536616;-4.357742;6.561964,,,
l3319,73.142670;8.432045;6.607636,,,
l3322,58.595305;-2.850372;6.886071,,,
l3324,48.382956;-4.665155;7.157084,,,
l3327,58.084869;-2.152299;7.533752,,,
l3328,61.792778;0.520623;7.498460,,,
l3330,48.060512;-3.994579;7.590061,,,
l3335,49.517184;-1.259598;7.947782,,,
l3338,59.157131;3.715461;7.805656,,,
l3339,56.509651;4.250842;7.973970,,,
l3340,53.234189;5.414926;7.902611,,,
l3341,53.319567;6.213189;7.968321,,,
l3345,60.169471;-1.414388;7.984214,,,
l3346,60.617456;2.757763;8.105252,,,
l3347,71.046882;-0.764032;8.281720,,,
l3349,70.188176;4.578840;8.180755,,,
l3351,53.422847;-1.099497;8.489170,,,
l3353,71.573310;3.399106;8.401981,,,
l3513,57.729429;13.342068;0.237575,,,
l3515,49.595644;-6.209585;0.684164,,,
l3520,41.022620;-6.424815;1.139519,,,
l3522,64.228955;13.023309;1.054156,,,
l3523,52.839763;13.154688;1.443195,,,
l3525,57.941924;12.460368;1.623300,,,
l3527,58.343047;13.019448;1.649653,,,
l3529,64.135421;12.208648;1.863727,,,
l3530,64.571832;12.692380;1.889079,,,
l3531,29.380432;13.474672;2.023808,,,
l3532,60.522858;-7.359181;2.338075,,,
l3533,57.913179;12.159198;2.309028,,,
l3534,74.267684;12.423681;2.276982,,,
l3536,57.079419;-7.558772;2.774545,,,
l3537,64.118052;12.090241;2.680510,,,
l3538,56.671838;12.204071;2.906580,,,
l3539,34.051549;12.930562;3.019336,,,
l3540,59.216332;12.093749;3.105457,,,
l3541,57.936880;-6.144233;3.481069,,,
l3542,59.036838;12.218135;3.815917,,,
l3544,51.485147;-6.377189;3.867072,,,
l3546,74.750304;11.585705;4.368606,,,
l3547,52.010443;12.287096;4.296121,,,
l3549,71.232234;-6.321823;4.898506,,,
l3552,76.156053;9.147697;5.501989,,,
l3554,67.373158;11.272074;5.527193,,,
l3557,59.921262;9.334691;5.976605,,,
l3560,64.271398;10.710083;5.944896,,,
l3562,65.743654;9.252336;6.100311,,,
l3563,65.229177;9.889232;6.049786,,,
l3564,71.865105;10.614605;6.069718,,,
l3567,75.840609;9.633231;6.545650,,,
l3568,61.278575;-3.037460;6.726820,,,
l3570,76.852797;7.198793;6.615880,,,
l3571,70.378383;8.421929;6.761566,,,
l3575,66.289140;-3.748704;6.868627,,,
l3576,66.196446;-2.680493;6.837789,,,
l3581,47.241733;9.362475;7.289466,,,
l3583,65.123008;-2.086932;7.470565,,,
l3584,75.751094;-2.227117;7.444091,,,
l3585,76.641950;-1.601454;7.576936,,,
l3586,76.062951;5.734311;7.549012,,,
l3587,62.548323;1.299937;7.732082,,,
l3588,77.826639;4.134993;7.789213,,,
l3589,53.295086;-2.909549;8.052223,,,
l3592,57.571378;6.069257;8.138906,,,
l3593,69.522293;-0.934330;8.330873,,,
l3595,68.832252;5.232648;8.267293,,,
l3597,75.778995;-1.307170;8.501913,,,
l3598,59.687651;2.337276;8.556873,,,
l3599,74.817450;5.587280;8.399775,,,
l3601,77.562760;1.985168;8.822703,,,
l3602,73.792029;2.416216;9.189221,,,
l3797,56.115903;-8.137354;0.240626,,,
l3798,56.884286;-8.096855;0.239789,,,
l3799,60.002030;-7.780541;0.236639,,,
l3800,74.351049;12.535549;0.253164,,,
l3802,51.628410;13.493230;0.281483,,,
l3803,56.951376;13.440385;0.275131,,,
l3804,58.413391;13.570737;0.273625,,,
l3806,55.315134;-7.570967;0.774479,,,
l3808,64.757343;13.186259;1.030445,,,
l3809,50.041363;-6.248486;1.078868,,,
l3817,44.337021;-6.573416;2.085478,,,
l3819,80.893107;-6.374600;2.359395,,,
l3821,43.975106;-6.243833;2.622777,,,
l3822,57.787807;-5.927702;3.122917,,,
l3823,55.090889;-5.827466;3.360778,,,
l3824,57.578838;12.300033;3.352150,,,
l3826,72.407947;-6.036334;3.784006,,,
l3827,60.986759;12.427172;3.694328,,,
l3828,77.854937;11.501666;4.362145,,,
l3830,76.817287;11.774919;4.281714,,,
l3831,67.486105;12.472114;4.352802,,,
l3832,68.312829;12.421767;4.435573,,,
l3833,55.685776;-6.020160;4.526616,,,
l3834,64.621311;11.880647;4.800640,,,
l3835,71.925217;12.177969;4.799545,,,
l3836,46.865441;-5.980615;4.889601,,,
l3837,74.240808;10.853573;5.000182,,,
l3839,58.834949;-5.749544;5.051593,,,
l3840,76.589178;10.009061;5.224868,,,
l3841,70.099686;-5.681591;5.276189,,,
l3843,57.860978;-5.420699;5.466010,,,
l3845,63.354179;-5.354376;5.814624,,,
l3846,81.239094;-5.175350;5.617697,,,
l3847,49.621786;-5.559035;6.033293,,,
l3848,68.259056;-5.604159;5.850256,,,
l3851,76.831953;8.632201;6.223243,,,
l3856,70.893273;10.115762;6.400878,,,
l3858,79.192151;7.592042;6.501475,,,
l3859,66.415859;8.863413;6.479682,,,
l3861,72.152403;9.846484;6.576938,,,
l3862,61.633208;-3.036874;6.804552,,,
l3863,74.902431;-4.364840;6.832975,,,
l3865,66.588250;-3.287067;7.109325,,,
l3866,76.226283;6.871056;7.094511,,,
l3867,61.495698;-2.279883;7.435369,,,
l3868,63.831411;-2.386457;7.274441,,,
l3869,78.100147;6.110080;7.360313,,,
l3870,79.920493;-3.153944;7.582073,,,
l3871,80.122302;0.717507;7.601893,,,
l3872,79.955081;4.325920;7.609546,,,
l3874,67.536423;8.414510;7.470033,,,
l3875,60.523757;1.602899;7.847815,,,
l3876,73.932615;6.521046;7.685301,,,
l3877,73.953123;7.481664;7.717766,,,
l3878,65.400223;7.622976;7.796826,,,
l3879,63.935405;-1.594916;8.017382,,,
l3880,76.302306;-0.988914;8.005997,,,
l3881,59.940556;7.092505;7.919388,,,
l3883,61.758206;3.158674;8.210232,,,
l3884,76.450207;4.581115;8.076976,,,
l3886,65.442149;-1.121403;8.379096,,,
l3887,55.796165;-0.152371;8.261211,,,
l3888,69.059071;1.053892;8.411989,,,
l3889,72.504057;1.361815;8.255387,,,
l3891,73.873038;0.354139;8.520953,,,
l3892,73.893737;6.215991;8.621286,,,
l3893,80.267627;0.918618;8.701839,,,
l3894,79.921788;2.447233;8.652319,,,
l3895,76.750856;3.794113;9.124687,,,
l3896,76.342201;4.506391;9.058058,,,
l4021,48.356234;-7.967930;0.296773,,,
l4126,52.000970;-8.153392;0.293125,,,
l4127,49.297238;-8.096510;0.295741,,,
l4128,64.665233;-7.300779;0.282124,,,
l4131,66.726214;13.535747;0.303482,,,
l4134,53.385662;-7.766150;0.714958,,,
l4138,65.511202;-6.244576;0.947730,,,
l4139,62.253044;13.269545;0.953739,,,
l4142,50.010517;-7.166694;1.701757,,,
l4143,82.590793;12.449193;2.403881,,,
l4144,58.112948;-6.905829;2.861496,,,
l4147,55.580025;-7.416263;3.090101,,,
l4149,73.342978;12.886712;2.901258,,,
l4153,52.346571;-5.765600;3.409333,,,
l4154,73.595433;12.735473;3.789658,,,
l4156,39.238692;12.654924;4.119796,,,
l4157,56.879320;-5.556596;4.157880,,,
l4160,81.763786;11.407893;4.435525,,,
l4163,48.629102;12.578847;4.709559,,,
l4164,54.424014;12.569233;4.784059,,,
l4167,78.576000;10.120721;5.109326,,,
l4169,64.315660;-6.034359;5.444701,,,
l4170,60.992984;-5.651188;5.447581,,,
l4171,73.185811;11.216948;5.440402,,,
l4172,75.033196;9.875750;5.625638,,,
l4173,84.315286;8.768262;5.688536,,,
l4174,64.951650;-5.237941;6.198916,,,
l4180,81.635076;8.423686;6.428090,,,
l4182,73.349439;10.922002;6.321444,,,
l4183,61.045633;-3.937828;6.569447,,,
l4185,75.428841;8.512836;6.538126,,,
l4187,84.280704;-3.543322;6.681093,,,
l4193,79.201472;-4.383597;7.002221,,,
l4194,69.525233;-2.236678;7.026701,,,
l4196,78.243760;7.199213;6.922371,,,
l4199,70.528661;-4.766287;7.274201,,,
l4201,65.287104;8.343002;7.104769,,,
l4202,68.994340;8.724174;7.134274,,,
l4204,82.255794;1.035650;7.440777,,,
l4207,66.199094;-1.662292;7.761263,,,
l4208,83.977610;4.246150;7.733298,,,
l4210,62.488475;7.404601;7.736506,,,
l4211,78.912452;0.970325;7.897617,,,
l4212,78.793488;3.259460;7.897859,,,
l4214,59.244006;-0.200155;8.285536,,,
l4217,66.138492;0.807111;8.445717,,,
l4218,63.618101;3.574209;8.492038,,,
l4220,73.082872;-1.336075;8.573094,,,
l4227,70.855716;3.176101;8.920762,,,
l4493,73.761358;-7.016705;0.328590,,,
l4495,72.993891;13.887310;0.343083,,,
l4499,67.155364;-6.142842;0.956149,,,
l4505,88.031911;-6.735809;1.393618,,,
l4507,40.841455;13.552265;1.548335,,,
l4508,67.265883;-6.004095;1.583011,,,
l4509,68.049590;12.810203;1.718056,,,
l4510,69.778989;12.969058;1.789144,,,
l4511,42.722782;-7.122990;2.117899,,,
l4512,64.626436;-6.099701;2.043749,,,
l4513,61.452498;12.934744;2.028009,,,
l4520,78.131885;-6.237332;2.905106,,,
l4523,63.917688;-5.854228;3.108995,,,
l4526,65.288373;12.288153;3.490888,,,
l4528,83.136630;-6.301534;4.198873,,,
l4529,66.278436;12.477435;4.254539,,,
l4531,82.564038;12.384617;4.271023,,,
l4534,52.820399;-6.544336;4.731073,,,
l4539,63.705886;11.794238;5.120015,,,
l4543,51.818273;11.273473;5.247242,,,
l4545,87.458409;9.505871;5.705025,,,
l4546,52.433646;10.475463;5.632797,,,
l4550,66.230589;11.200733;6.140071,,,
l4560,58.417114;-4.584438;6.543946,,,
l4566,78.044194;-4.350601;7.203487,,,
l4567,67.457453;-3.857149;7.291230,,,
l4570,85.458385;6.989328;7.513661,,,
l4573,86.409248;4.793210;7.615040,,,
l4574,71.684640;7.935761;7.726564,,,
l4575,69.170759;-4.694416;7.734550,,,
l4577,88.068607;-1.390050;7.832570,,,
l4583,62.769183;-0.526064;8.307956,,,
l4588,62.991022;-1.459876;8.396874,,,
l4591,68.033592;1.624542;8.723873,,,
l4822,70.228908;13.896946;0.387606,,,
l4823,67.638153;-6.984887;0.943385,,,
l4824,60.917856;13.646496;0.881111,,,
l4826,72.092642;13.985848;1.091168,,,
l4827,63.727934;-7.144078;1.343232,,,
l4828,64.466228;-6.999233;1.371585,,,
l4830,43.503799;14.077900;1.315842,,,
l4833,68.793001;13.165710;1.651599,,,
l4839,68.767816;12.792298;2.272450,,,
l4844,76.339781;12.551958;2.719918,,,
l4849,66.353106;-5.711201;3.019051,,,
l4853,60.212449;-5.393214;3.977088,,,
l4855,71.655617;12.948255;3.829406,,,
l4856,83.683437;12.021674;4.094315,,,
l4859,85.543159;11.543119;4.238917,,,
l4860,84.835059;11.728612;4.183715,,,
l4863,66.397536;-6.139905;4.652044,,,
l4864,79.394483;12.323305;4.591853,,,
l4867,61.881552;11.769025;4.811591,,,
l4868,85.293190;-5.837076;5.056197,,,
l4869,63.090569;11.755511;5.015908,,,
l4872,66.458714;12.058941;5.631922,,,
l4874,70.962419;-5.129533;6.040210,,,
l4875,86.531442;-4.282933;6.139009,,,
l4876,86.141596;8.277010;6.164756,,,
l4877,84.359744;10.482165;5.999375,,,
l4880,65.890076;-5.024586;6.666964,,,
l4889,89.363339;0.759363;7.516885,,,
l4891,84.200233;7.311066;7.759798,,,
l4892,80.812568;-0.324587;7.903894,,,
l4894,85.226377;4.484490;7.868723,,,
l4895,74.629036;-1.769234;8.135767,,,
l4900,66.499091;7.822983;8.193184,,,
l4901,72.058651;7.807945;8.446084,,,
l4903,66.493660;6.178950;8.630570,,,
l4904,67.986761;3.802901;8.964218,,,
l4905,67.667780;4.747623;8.911771,,,
l4906,73.483465;7.689154;8.807242,,,
l4907,74.293202;7.337366;8.995632,,,
l4908,78.977818;3.724312;9.233265,,,
l4910,76.861762;1.320920;9.463276,,,
l5271,68.480771;11.671787;6.306364,,,
l5377,69.126771;-7.339220;0.430421,,,
l5378,75.679469;12.486373;0.424826,,,
l5379,48.099915;12.963839;0.423657,,,
l5382,68.902175;13.806925;0.424184,,,
l5385,50.826285;-7.668941;1.199296,,,
l5388,59.562897;-7.809033;1.427535,,,
l5389,86.539292;-7.142219;1.318529,,,
l5390,88.792161;-6.693011;1.365339,,,
l5391,86.730431;13.235892;1.349358,,,
l5392,62.198381;-7.116087;1.559739,,,
l5396,49.752232;12.517749;1.842022,,,
l5397,77.812270;12.681827;1.900318,,,
l5398,76.566907;12.966466;1.854823,,,
l5399,47.010488;-6.250274;2.264486,,,
l5400,89.274232;-6.157939;2.317799,,,
l5401,65.360476;12.476405;2.404012,,,
l5404,82.071841;-5.835416;2.793345,,,
l5407,70.754979;12.965705;2.831743,,,
l5408,60.831347;-5.974133;3.167447,,,
l5422,58.128436;11.664294;4.841420,,,
l5423,89.614793;-5.715187;5.194286,,,
l5424,80.024617;10.924932;5.068788,,,
l5427,73.993083;12.499653;5.074868,,,
l5428,65.325379;11.968326;5.372836,,,
l5429,70.953474;12.420934;5.262856,,,
l5430,66.688309;-6.053767;5.587735,,,
l5436,87.364870;10.714831;5.988811,,,
l5437,82.575395;-5.092104;6.038442,,,
l5438,83.327145;-4.465542;6.140513,,,
l5439,89.229697;-4.333304;6.085203,,,
l5444,85.590456;-3.579627;6.472422,,,
l5446,82.191106;-4.429224;6.772378,,,
l5448,80.798755;9.505380;6.703277,,,
l5449,64.951991;10.914768;6.677109,,,
l5450,82.653630;7.664797;6.944566,,,
l5456,74.280430;10.713100;7.028437,,,
l5458,85.398720;-2.414448;7.302573,,,
l5463,72.856961;-4.439787;7.592523,,,
l5465,69.100317;-2.809593;7.611144,,,
l5467,67.735367;-4.781246;7.819509,,,
l5468,88.177602;0.327501;7.779055,,,
l5469,87.803475;1.420885;7.716899,,,
l5471,72.179723;-3.591790;7.988453,,,
l5472,84.419053;-1.822656;7.981703,,,
l5474,83.824532;1.074039;7.857141,,,
l5476,88.239151;5.133401;7.843975,,,
l5477,88.391168;6.944120;7.915685,,,
l5478,94.417291;7.121871;7.884499,,,
l5480,69.067576;8.412595;8.022812,,,
l5481,90.049754;-0.751861;8.110416,,,
l5484,80.385735;5.614809;8.043536,,,
l5485,84.926778;6.258691;8.172872,,,
l5486,86.024101;-0.352292;8.292305,,,
l5487,86.510452;3.001670;8.410339,,,
l5489,83.062543;-1.195229;8.540423,,,
l5490,87.201702;2.711020;8.543503,,,
l5491,92.592835;2.684046;8.570708,,,
l5492,83.336345;3.176852;8.626154,,,
l5493,69.618868;6.752890;8.605209,,,
l5494,71.059040;1.321142;8.778940,,,
l5496,70.440094;5.845974;8.794942,,,
l5497,71.579063;-0.963972;8.949995,,,
l5502,71.439933;4.740602;9.047313,,,
l5695,86.872593;-7.683591;0.478857,,,
l5697,72.016730;3.006480;0.467279,,,
l5699,78.077854;12.570595;1.132726,,,
l5703,81.676683;13.354608;1.212062,,,
l5704,83.064151;13.403857;1.240800,,,
l5705,93.239982;12.945856;1.450320,,,
l5706,75.872649;-6.772323;1.638109,,,
l5707,70.892737;13.954650;1.554927,,,
l5708,50.829966;-7.124386;1.879232,,,
l5711,76.389421;-6.437922;2.248514,,,
l5712,89.539484;-6.073567;2.220813,,,
l5715,75.351408;12.816892;2.320312,,,
l5718,85.392643;-7.272995;2.839719,,,
l5719,83.848580;-6.273119;2.726751,,,
l5720,83.943749;-5.608850;2.725025,,,
l5721,84.470965;12.435289;2.862456,,,
l5723,60.034714;-6.362429;3.079408,,,
l5724,90.683772;12.548265;3.252587,,,
l5725,78.838288;12.626795;3.212263,,,
l5726,67.504447;12.466936;3.284312,,,
l5727,84.443345;12.425870;3.662738,,,
l5729,76.520865;-6.625175;4.060371,,,
l5730,79.603630;12.475880;3.975222,,,
l5736,75.152875;12.585626;4.783001,,,
l5738,83.845514;10.839625;5.135761,,,
l5739,79.085973;10.939775;5.237686,,,
l5740,83.148378;-5.856706;5.642334,,,
l5744,92.224222;-4.446457;6.055397,,,
l5747,92.859537;9.639310;6.242969,,,
l5748,92.064351;10.512386;6.167095,,,
l5749,85.504130;10.724377;6.164340,,,
l5750,87.829658;-4.202456;6.320475,,,
l5751,77.902616;9.438216;6.311178,,,
l5752,97.966677;8.985050;6.885806,,,
l5754,80.482375;7.189956;7.394351,,,
l5755,73.741748;9.754377;7.325421,,,
l5758,73.340699;-4.137013;7.915536,,,
l5759,77.969861;-2.217020;7.965621,,,
l5760,87.242067;2.002690;7.874196,,,
l5761,87.345382;4.896509;7.946810,,,
l5762,87.650972;6.819165;8.065396,,,
l5763,86.742368;7.395883;7.909057,,,
l5764,72.533269;-3.000975;8.155475,,,
l5765,89.080630;-0.837107;8.232493,,,
l5766,84.978415;0.511066;8.208783,,,
l5767,93.509828;0.894001;8.133305,,,
l5768,88.234881;3.773127;8.097657,,,
l5769,88.695596;6.344097;8.254481,,,
l5770,80.891201;6.474557;8.172888,,,
l5771,93.382876;6.625919;8.195755,,,
l5772,94.561347;5.920597;8.384465,,,
l5773,78.852231;5.958034;8.341639,,,
l5774,93.903177;6.331018;8.279111,,,
l5776,96.443939;3.359893;8.670308,,,
l5777,82.725113;3.680298;8.508542,,,
l5778,95.855309;4.023987;8.575745,,,
l5779,95.435722;4.753562;8.514008,,,
l5780,91.334358;2.808986;8.697370,,,
l5781,78.858390;0.813219;9.546283,,,
l5972,80.534848;13.551924;0.494151,,,
l5973,88.372189;13.687721;0.497546,,,
l5974,72.896230;-7.776263;0.965464,,,
l5976,71.007232;-7.163478;1.329095,,,
l5982,59.504403;13.163765;1.753673,,,
l5983,66.906060;13.168770;1.716878,,,
l5984,56.228978;-7.716816;1.999913,,,
l5985,85.280503;-7.605986;1.937289,,,
l5987,70.817183;-5.754441;2.088853,,,
l5988,91.413404;12.980702;2.243345,,,
l5991,85.512339;-5.897270;2.637986,,,
l5992,54.900389;13.084834;2.523657,,,
l5998,68.302757;-5.825135;3.276925,,,
l5999,79.002835;-6.004756;3.361704,,,
l6000,75.990010;-6.198444;3.557514,,,
l6002,90.264416;-6.023086;3.761837,,,
l6004,85.149594;-5.558104;4.014362,,,
l6006,73.586777;-5.751950;4.159457,,,
l6009,86.545791;11.913971;4.331013,,,
l6011,79.065854;-6.280370;4.535399,,,
l6012,100.412554;-6.062408;4.645873,,,
l6013,75.781535;-5.942198;4.542860,,,
l6014,82.855862;-6.513934;5.113919,,,
l6015,75.297748;-6.073166;4.972828,,,
l6016,86.576320;11.099454;5.074539,,,
l6017,82.295519;10.998060;5.221811,,,
l6018,97.578454;-5.825528;5.370883,,,
l6019,96.586998;12.014848;5.385792,,,
l6021,79.198703;-5.636385;5.707261,,,
l6022,86.724820;-5.260334;5.664364,,,
l6024,70.786513;-6.464702;5.829158,,,
l6025,74.682704;-5.588483;5.822544,,,
l6026,95.876475;-5.363821;6.119465,,,
l6027,79.445044;9.809210;5.988807,,,
l6028,83.082401;10.834850;6.029696,,,
l6031,89.519954;10.997787;6.275644,,,
l6032,76.852522;-5.535792;6.335919,,,
l6035,96.737269;10.770011;6.350824,,,
l6036,77.708143;-5.594513;6.543632,,,
l6038,91.879030;9.089525;6.551119,,,
l6042,89.432505;-3.349260;6.845970,,,
l6043,88.057495;8.067519;6.733763,,,
l6044,83.609018;9.441178;6.748438,,,
l6045,70.104721;11.209180;6.780686,,,
l6046,102.665466;-3.858588;6.990701,,,
l6047,101.844784;8.958321;6.960777,,,
l6048,75.902776;-5.051572;7.146788,,,
l6052,82.557316;-3.541094;7.628833,,,
l6054,77.371848;7.088228;7.716094,,,
l6057,101.994215;6.494737;8.016511,,,
l6058,82.230103;-2.374532;8.185457,,,
l6065,77.644353;6.017220;8.299072,,,
l6066,96.878587;6.781671;8.221782,,,
l6067,91.272003;7.186001;8.122368,,,
l6068,96.172765;7.278674;8.112558,,,
l6069,81.043749;-2.280114;8.511620,,,
l6070,93.795608;-0.260264;8.494209,,,
l6071,98.545491;1.288446;8.430033,,,
l6074,86.419872;-1.238749;8.528393,,,
l6075,94.349088;3.723707;8.635989,,,
l6077,98.859287;5.297288;8.534106,,,
l6078,82.745577;6.891345;8.512443,,,
l6081,95.086971;2.803946;8.768633,,,
l6082,77.108652;5.811059;8.703003,,,
l6083,80.629621;-0.210597;9.005537,,,
l6402,84.446486;-7.975867;0.557918,,,
l6404,57.858550;5.687158;0.651348,,,
l6405,79.422084;13.469375;0.525021,,,
l6411,90.830418;13.447604;1.319779,,,
l6416,79.891672;13.245693;1.669660,,,
l6434,90.989356;12.649952;4.472231,,,
l6436,105.041559;11.569328;4.837127,,,
l6444,77.179799;11.899660;5.137634,,,
l6456,97.666481;11.687569;6.066844,,,
l6459,89.329167;9.722961;6.433193,,,
l6462,94.040324;11.068156;6.438478,,,
l6465,103.412833;8.878615;6.721826,,,
l6466,90.380119;9.295681;6.590519,,,
l6469,105.275084;8.000276;6.944479,,,
l6478,81.626299;7.864362;7.377846,,,
l6479,75.584807;8.280078;7.341953,,,
l6484,96.157438;8.814436;7.559911,,,
l6491,90.902907;0.912027;7.985473,,,
l6493,106.595120;1.688346;8.138115,,,
l6501,102.155692;-1.229679;8.456823,,,
l6511,93.835443;4.337681;8.690035,,,
l6520,98.658246;0.007487;8.766519,,,
l6527,106.199057;2.768294;9.179826,,,
l6528,102.435898;3.238624;9.541088,,,
l6767,72.318583;-8.074584;0.586083,,,
l6768,82.415676;-8.019636;0.593411,,,
l6774,83.369191;-7.664785;1.108502,,,
l6775,93.384985;-7.011101;1.322319,,,
l6776,78.086339;-6.387673;1.381700,,,
l6777,92.606092;-6.204692;1.300231,,,
l6778,93.402876;-6.074688;1.317170,,,
l6783,73.711423;-7.214361;1.857390,,,
l6787,82.931445;-7.449529;2.108192,,,
l6788,75.505585;-7.199380;1.997696,,,
l6790,71.963024;-6.782722;2.269455,,,
l6794,109.597244;-6.084148;2.748430,,,
l6798,63.595761;12.289114;3.084012,,,
l6801,72.294747;-7.327698;3.549995,,,
l6803,64.593219;12.211995;3.412780,,,
l6806,101.727311;13.089437;3.380623,,,
l6809,78.376332;-5.944784;3.818084,,,
l6815,80.912239;-6.717977;4.762641,,,
l6818,100.584858;12.353971;5.122418,,,
l6822,89.589582;-6.291100;5.754776,,,
l6823,89.432392;-5.678538;5.704974,,,
l6825,81.528096;10.796393;5.728624,,,
l6828,87.163219;-6.312023;5.943708,,,
l6829,81.653901;-6.137052;5.854804,,,
l6831,110.015945;-4.882273;6.003918,,,
l6836,105.538071;8.873466;6.568803,,,
l6839,101.610659;-4.537228;6.892085,,,
l6840,90.962997;8.665859;6.791730,,,
l6843,82.630500;9.950145;6.971725,,,
l6844,90.988855;-2.726288;7.268982,,,
l6845,94.956597;-2.296779;7.365837,,,
l6847,95.341118;-2.995693;7.453565,,,
l6849,101.450406;-3.151110;7.755688,,,
l6850,90.327659;-2.257401;7.790628,,,
l6851,88.456399;-2.125868;7.970688,,,
l6852,108.547438;5.600091;7.966024,,,
l6854,104.324754;-1.296379;8.244960,,,
l6859,87.933393;-0.278165;8.443297,,,
