key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l35,37.917283;13.125744;0.954786,,,
l36,35.287060;13.507076;0.899462,,,
l37,14.906910;14.756576;0.941566,,,
l38,15.221731;16.356991;1.005317,,,
l39,20.860858;12.828060;1.098037,,,
l41,24.333951;13.576381;1.252235,,,
l42,24.934012;13.568211;1.275947,,,
l44,30.376582;-7.057946;1.378510,,,
l46,20.122001;-6.834040;1.373009,,,
l48,29.978665;13.051272;1.471571,,,
l50,26.949902;13.576834;1.357394,,,
l51,14.983384;15.512178;1.424670,,,
l52,14.713935;-8.583608;1.447777,,,
l54,17.295268;-7.105554;1.593390,,,
l55,22.552873;-7.041740;1.532294,,,
l57,21.642450;12.885258;1.661343,,,
l58,33.797366;13.242707;1.635881,,,
l59,17.453588;13.721498;1.463015,,,
l60,15.595935;16.276586;1.491000,,,
l61,35.460266;13.187286;1.705712,,,
l62,15.872098;14.195038;1.853399,,,
l66,26.968104;12.857724;1.976363,,,
l67,17.718115;13.171281;1.919569,,,
l68,25.134976;13.415954;1.883972,,,
l69,26.522769;13.355065;1.964850,,,
l75,20.728007;13.214192;2.141351,,,
l76,22.151436;13.281691;2.252111,,,
l77,15.239588;-8.779798;2.238616,,,
l78,26.044960;-7.508116;2.340518,,,
l79,26.952699;-7.389759;2.415604,,,
l83,24.264163;13.234141;2.412985,,,
l84,17.721686;13.903840;2.438866,,,
l85,15.713194;15.011139;2.355912,,,
l86,15.512860;16.005929;2.420813,,,
l87,28.293712;-7.161120;2.526175,,,
l88,17.910543;-6.848924;2.443991,,,
l89,26.118220;12.790788;2.540740,,,
l90,16.654240;-7.274093;2.697932,,,
l93,30.449971;12.575935;2.884832,,,
l94,22.315352;12.973904;2.799030,,,
l95,15.103524;15.173676;2.778647,,,
l96,18.071834;-7.566598;2.917265,,,
l99,23.726773;12.972998;2.935154,,,
l100,15.834687;-8.475652;3.053222,,,
l101,24.237351;-5.563693;3.199625,,,
l103,26.284849;12.741769;3.175228,,,
l106,15.283058;14.536050;3.186402,,,
l108,27.626294;12.630544;3.304533,,,
l110,16.515164;-7.503984;3.471930,,,
l111,19.685308;-6.977221;3.564431,,,
l112,20.411249;-6.155522;3.639893,,,
l115,30.874554;12.656784;3.637064,,,
l116,15.910406;13.462016;3.591243,,,
l118,26.069471;12.721601;3.774427,,,
l119,16.887325;13.253743;3.699522,,,
l120,16.001258;14.238675;3.696934,,,
l122,15.708579;-9.687804;3.947773,,,
l123,16.218125;-8.985741;3.962279,,,
l124,17.445253;-6.393635;3.958734,,,
l125,19.097626;-6.410174;3.867218,,,
l126,27.914746;12.400342;3.978324,,,
l130,17.832743;-7.236782;4.109344,,,
l131,23.412992;-6.370859;4.162708,,,
l133,29.120823;12.059179;4.107373,,,
l134,46.384119;12.214982;4.226167,,,
l135,36.728398;12.592238;4.244358,,,
l137,14.857758;-10.104710;4.240440,,,
l138,16.056044;-6.313394;4.422618,,,
l140,48.837120;11.306597;4.418449,,,
l141,21.482852;12.785900;4.319558,,,
l142,18.882683;12.910975;4.442370,,,
l143,25.256462;12.913124;4.300743,,,
l144,25.353480;-6.272908;4.491914,,,
l145,42.484129;-5.570361;4.670387,,,
l146,27.819923;11.374014;4.559259,,,
l147,32.541226;11.626661;4.511431,,,
l148,20.622667;12.253922;4.660614,,,
l149,23.524328;12.692242;4.625414,,,
l150,40.370866;12.520379;4.627354,,,
l151,14.888874;-10.771799;4.754976,,,
l154,29.195803;11.307865;4.754038,,,
l155,22.093113;11.547617;4.845181,,,
l156,41.308843;12.076885;4.712536,,,
l157,17.516624;12.939953;4.702366,,,
l159,14.667911;-9.646466;4.923671,,,
l160,15.909493;-6.928106;4.841428,,,
l161,28.612060;-5.580329;5.031084,,,
l162,22.494469;-5.397178;4.968730,,,
l164,26.498418;11.071405;4.973581,,,
l165,30.774634;11.170542;4.976175,,,
l166,20.296335;11.427191;5.028671,,,
l167,44.916353;11.298678;5.076611,,,
l168,17.738054;11.673073;5.043227,,,
l169,26.400697;-5.795203;5.243300,,,
l170,21.279475;-5.420246;5.191358,,,
l173,23.700840;10.940240;5.077747,,,
l174,38.319896;12.103239;5.263323,,,
l176,15.826026;-7.534022;5.294652,,,
l178,27.556242;-4.901120;5.435198,,,
l180,22.644782;10.399424;5.385730,,,
l181,16.887765;11.789265;5.347913,,,
l182,39.505503;11.893159;5.405963,,,
l183,15.883579;12.778970;5.300751,,,
l184,14.248864;-9.575063;5.600071,,,
l187,20.342191;10.703865;5.465557,,,
l188,16.532236;11.262986;5.637043,,,
l189,25.851351;11.207004;5.493032,,,
l190,41.145458;11.662375;5.607122,,,
l191,40.323168;11.783665;5.506286,,,
l193,20.099694;-5.359401;5.837651,,,
l194,33.017126;-4.368324;5.770758,,,
l196,22.080458;9.951211;5.764395,,,
l197,19.704350;10.252938;5.769290,,,
l198,17.811033;10.515066;5.827836,,,
l199,24.435921;10.496709;5.759349,,,
l200,26.892399;11.154622;5.680642,,,
l201,31.612208;11.093145;5.824385,,,
l202,15.911915;13.203687;5.849197,,,
l203,17.249410;-5.570387;5.885251,,,
l204,30.296327;-4.406909;5.961944,,,
l205,25.030697;-4.252644;6.033397,,,
l207,29.114565;9.015399;5.948873,,,
l209,28.275385;10.941727;5.921344,,,
l210,32.678946;10.978476;5.997100,,,
l211,37.436535;11.148488;5.960139,,,
l212,17.304426;15.251928;6.032225,,,
l213,18.100442;-5.441893;6.147079,,,
l214,23.363121;-4.567319;6.175774,,,
l215,28.444136;-4.004479;6.215603,,,
l216,30.111738;8.575716;6.114588,,,
l217,46.831969;8.695503;6.252938,,,
l218,34.159415;9.451666;6.166857,,,
l219,17.687721;9.929528;6.169966,,,
l220,16.680865;11.772918;6.227214,,,
l221,23.929526;-5.088656;6.354169,,,
l222,29.226289;-3.118485;6.364642,,,
l223,47.814750;8.204266;6.370000,,,
l224,31.077801;8.402411;6.291742,,,
l225,20.240304;9.689082;6.333810,,,
l226,16.867344;10.054507;6.420956,,,
l227,27.295520;10.255793;6.330162,,,
l229,15.898810;11.584885;6.447980,,,
l230,15.382038;12.078115;6.415241,,,
l231,22.943909;-5.124762;6.628536,,,
l232,42.964896;-4.567736;6.587514,,,
l233,27.437769;-3.552886;6.593914,,,
l234,33.336286;-3.039460;6.536142,,,
l235,30.129165;-2.645724;6.555313,,,
l236,49.019703;7.723198;6.517775,,,
l237,26.667578;8.043137;6.652140,,,
l238,29.518151;7.972193;6.641053,,,
l239,28.757004;8.097473;6.484827,,,
l240,32.319578;8.181961;6.521242,,,
l241,42.762698;9.025194;6.680309,,,
l242,21.335317;9.672440;6.621273,,,
l243,23.296606;9.768598;6.585553,,,
l244,19.325467;9.948135;6.626539,,,
l245,19.844592;-5.202684;6.694255,,,
l246,21.860213;-5.114356;6.831906,,,
l247,23.876845;-3.978947;6.830313,,,
l248,27.957788;-2.897986;6.702302,,,
l249,18.097500;9.568390;6.699020,,,
l250,20.644382;-5.015440;6.941604,,,
l252,26.480867;-3.457571;6.956045,,,
l253,45.288373;-2.955284;6.928232,,,
l255,31.039605;7.762246;6.957889,,,
l256,21.642419;7.942764;7.031908,,,
l257,22.952237;8.055793;6.877231,,,
l258,45.229050;7.883778;7.022569,,,
l259,19.696171;8.334020;7.001362,,,
l260,21.417476;-4.762432;7.177425,,,
l261,21.681521;-4.067532;7.215871,,,
l263,47.404241;-2.191054;7.251537,,,
l264,29.586486;-2.032059;7.084039,,,
l265,36.862595;-1.669992;7.224802,,,
l267,20.810371;7.595407;7.258065,,,
l268,39.927502;8.647235;7.129553,,,
l269,19.084583;10.716426;7.186913,,,
l270,25.514968;-3.253384;7.273474,,,
l271,25.909558;-2.459845;7.362087,,,
l274,23.128558;7.050760;7.384666,,,
l275,41.219330;8.226125;7.339070,,,
l276,24.865659;-3.029357;7.650614,,,
l278,31.597172;1.371009;7.571815,,,
l280,31.639994;4.790629;7.668007,,,
l282,28.275598;7.710868;7.668869,,,
l285,32.279643;0.174229;7.732080,,,
l286,27.619191;1.094173;7.835971,,,
l287,25.188360;1.444425;7.706570,,,
l288,29.403622;1.319787;7.692484,,,
l289,32.253406;3.905176;7.787226,,,
l290,29.252687;6.720417;7.857208,,,
l291,31.815177;7.183923;7.823845,,,
l292,39.063480;7.238557;7.802634,,,
l293,34.879926;7.390703;7.775155,,,
l294,26.120896;7.643129;7.722656,,,
l295,38.533384;7.629045;7.713423,,,
l296,24.073507;-2.926011;7.960335,,,
l299,30.370720;-1.185679;7.950612,,,
l300,33.027637;-1.302083;7.922022,,,
l301,33.051136;-0.361741;7.922447,,,
l302,30.302349;0.046720;7.926346,,,
l303,36.957370;0.737289;8.059891,,,
l304,23.960356;1.215284;7.869553,,,
l305,23.993812;1.991600;7.899216,,,
l306,30.495583;3.649306;8.040513,,,
l307,24.204339;3.986267;8.057155,,,
l308,25.482214;4.800350;7.933645,,,
l309,27.554402;4.852227;7.939669,,,
l310,23.498055;4.977261;7.884938,,,
l311,23.377566;6.548513;7.977581,,,
l312,32.859149;6.630822;8.046074,,,
l313,36.102051;6.683561;8.011291,,,
l314,39.706782;6.744848;7.911811,,,
l315,26.723611;7.511249;7.881428,,,
l316,24.583770;-1.593843;8.090043,,,
l319,28.858546;-0.067747;8.192882,,,
l320,37.185400;0.033301;8.108672,,,
l321,41.655758;0.479098;8.182271,,,
l322,41.305976;1.377418;8.116943,,,
l323,28.500243;3.760882;8.163580,,,
l324,26.212524;4.321892;8.134461,,,
l325,37.448250;5.001931;8.247146,,,
l326,41.435277;5.250238;8.209290,,,
l327,40.865928;5.858665;8.113095,,,
l328,36.673232;6.275793;8.120441,,,
l329,27.839281;6.428940;8.117050,,,
l330,25.717115;7.183958;8.184191,,,
l332,25.360446;-1.239773;8.347657,,,
l333,27.261232;-0.976461;8.356268,,,
l334,38.497719;3.022732;8.431592,,,
l335,29.249133;3.219214;8.361969,,,
l336,27.258673;3.595593;8.427888,,,
l337,37.964462;3.866573;8.330705,,,
l338,42.927204;4.253058;8.483423,,,
l339,47.250261;5.858625;8.330611,,,
l340,28.590848;5.998188;8.304222,,,
l342,35.253777;2.770159;8.494816,,,
l344,50.012832;0.555673;8.753045,,,
l345,49.764751;3.693751;8.736183,,,
l346,46.101468;3.296915;9.101405,,,
l453,16.032637;14.680357;0.516310,,,
l541,29.398050;12.446763;2.055387,,,
l608,21.320341;12.762390;0.079355,,,
l609,18.275227;12.726223;0.075429,,,
l610,29.747178;13.643059;0.091741,,,
l611,16.388022;-11.215325;0.426682,,,
l612,22.738214;-7.565625;0.524285,,,
l613,20.522784;12.651043;0.564951,,,
l619,26.912209;12.479282;2.515184,,,
l621,25.181330;-5.781073;3.197257,,,
l622,19.736134;12.702389;3.416958,,,
l624,18.723586;-7.468229;4.110334,,,
l625,19.848521;-6.155062;4.236169,,,
l628,49.729965;10.991442;4.392293,,,
l629,22.418726;12.519823;4.285003,,,
l630,20.340693;12.636078;4.485752,,,
l631,29.959750;11.133898;4.707129,,,
l633,17.873655;11.924524;4.902914,,,
l635,14.779434;-12.373557;5.239882,,,
l636,23.379245;10.325167;5.321135,,,
l637,25.987064;-5.780008;5.525565,,,
l638,27.807844;10.959634;5.645324,,,
l639,16.892642;12.159603;5.641375,,,
l640,33.556755;-5.177501;5.701451,,,
l641,26.036697;-4.456545;6.038681,,,
l642,30.471738;8.793406;5.997988,,,
l643,27.267685;9.033000;6.012980,,,
l644,23.833101;9.875598;5.920208,,,
l645,29.628905;10.648000;5.960730,,,
l646,15.633352;13.058960;5.984321,,,
l647,19.270082;-5.603798;6.218793,,,
l648,26.788244;-4.315370;6.214369,,,
l649,30.064093;-3.704047;6.336461,,,
l650,36.383955;8.775088;6.338207,,,
l651,26.038241;10.100577;6.441357,,,
l652,34.177110;-3.633853;6.506423,,,
l653,50.385630;7.221242;6.541129,,,
l654,43.589508;8.987602;6.641844,,,
l655,26.460908;9.523924;6.484743,,,
l656,39.979720;-3.463323;6.796836,,,
l657,44.439440;8.427333;6.752880,,,
l658,23.263662;8.402954;6.715936,,,
l659,22.834868;9.291719;6.700332,,,
l660,20.712085;9.705142;6.690589,,,
l661,26.686894;7.420517;6.966836,,,
l662,34.269494;-2.191535;7.237329,,,
l664,25.579452;-2.651668;7.539051,,,
l666,30.254654;1.379397;7.643404,,,
l667,30.644179;0.315683;7.739404,,,
l668,26.547103;0.637390;7.800171,,,
l669,24.777807;0.985653;7.794251,,,
l670,24.814424;1.817226;7.823558,,,
l671,45.031521;6.316371;7.759613,,,
l672,36.270285;6.985161;7.831064,,,
l673,31.625503;-1.418135;8.011623,,,
l674,31.201523;-0.252441;7.889120,,,
l675,27.331292;0.086216;8.046069,,,
l676,31.248409;3.558379;7.960779,,,
l677,28.532143;4.489745;7.904645,,,
l679,24.398586;5.773247;7.903801,,,
l680,36.905681;6.555897;7.951592,,,
l682,42.284742;1.161294;8.096889,,,
l683,31.889416;3.083905;8.118030,,,
l684,25.421675;3.915792;8.115563,,,
l685,34.483444;6.206066;8.165565,,,
l686,36.247527;2.449359;8.474713,,,
l687,35.447781;3.383358;8.298915,,,
l688,43.472053;4.680964;8.387731,,,
l689,38.982501;4.663416;8.342947,,,
l690,27.506261;5.910784;8.314124,,,
l691,50.668534;2.182669;8.683217,,,
l692,31.182249;2.357470;8.598579,,,
l694,26.759713;3.212559;8.532477,,,
l1450,15.937358;-8.956781;0.043478,,,
l1456,46.517549;12.058128;1.023429,,,
l1460,30.711921;-7.886389;1.744440,,,
l1461,32.007355;-6.504293;1.804376,,,
l1462,54.225617;-7.510660;2.172597,,,
l1463,20.556624;-6.874690;2.171203,,,
l1464,37.034442;11.777849;2.269008,,,
l1466,31.010872;-6.694301;2.311609,,,
l1470,15.992862;-8.812407;3.016941,,,
l1472,43.442164;-6.745607;3.371595,,,
l1482,42.323192;-6.855776;4.907272,,,
l1483,50.273951;9.213449;5.032978,,,
l1484,33.897830;-6.223641;5.082876,,,
l1489,39.753490;-6.452200;5.330473,,,
l1496,43.532502;10.379985;6.070203,,,
l1498,52.310661;-5.502541;6.181465,,,
l1499,51.985909;7.835035;6.215352,,,
l1509,49.376537;-5.018008;6.762629,,,
l1510,36.279491;-3.090495;6.791485,,,
l1514,40.079237;-3.988843;6.868002,,,
l1515,37.134668;-2.834434;6.974856,,,
l1517,53.357021;4.169787;7.379556,,,
l1519,38.409525;7.833655;7.452670,,,
l1520,43.147555;-4.897237;7.493511,,,
l1527,45.754566;-2.348323;7.966115,,,
l1537,43.555296;-0.844131;8.373722,,,
l1538,39.789787;0.956926;8.318562,,,
l1541,47.351863;6.469332;8.387689,,,
