key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,0.000005;-0.000464;0.000454;0.000040;-0.000206;-0.000665
b1,,,,-0.000007;-0.001203;0.001196;0.000040;-0.000207;-0.000669
b2,,,,-0.000079;-0.002196;0.002237;0.000041;-0.000207;-0.000677
b3,,,,-0.000261;-0.003596;0.003692;0.000048;-0.000202;-0.000690
b4,,,,-0.000338;-0.004076;0.004153;0.000052;-0.000199;-0.000695
b5,,,,-0.000511;-0.005084;0.005029;0.000061;-0.000189;-0.000706
b6,,,,-0.000633;-0.005830;0.005603;0.000067;-0.000179;-0.000714
b7,,,,-0.000760;-0.006617;0.006153;0.000074;-0.000165;-0.000723
b8,,,,-0.000887;-0.007442;0.006677;0.000080;-0.000150;-0.000732
b9,,,,-0.000998;-0.008235;0.007135;0.000085;-0.000132;-0.000742
b10,,,,-0.001104;-0.009080;0.007580;0.000090;-0.000111;-0.000752
b11,,,,-0.001188;-0.009902;0.007977;0.000093;-0.000089;-0.000763
b12,,,,-0.001243;-0.010701;0.008329;0.000095;-0.000067;-0.000773
b13,,,,-0.001267;-0.011523;0.008656;0.000096;-0.000043;-0.000785
b14,,,,-0.001258;-0.012614;0.009042;0.000095;-0.000011;-0.000801
b15,,,,-0.001239;-0.013432;0.009295;0.000094;0.000013;-0.000814
b16,,,,-0.001217;-0.014275;0.009523;0.000092;0.000037;-0.000827
b17,,,,-0.001186;-0.015088;0.009715;0.000089;0.000060;-0.000840
b18,,,,-0.001135;-0.015873;0.009877;0.000086;0.000081;-0.000853
b19,,,,-0.001060;-0.016678;0.010023;0.000081;0.000102;-0.000867
b20,,,,-0.000963;-0.017479;0.010151;0.000076;0.000122;-0.000881
b21,,,,-0.000841;-0.018299;0.010266;0.000071;0.000140;-0.000896
b22,,,,-0.000706;-0.019095;0.010362;0.000064;0.000155;-0.000910
b23,,,,-0.000568;-0.019895;0.010442;0.000058;0.000168;-0.000924
b24,,,,-0.000428;-0.020679;0.010504;0.000050;0.000178;-0.000937
b25,,,,-0.000273;-0.021492;0.010552;0.000042;0.000185;-0.000951
b26,,,,-0.000159;-0.022061;0.010579;0.000036;0.000189;-0.000960
b27,,,,-0.000011;-0.022862;0.010606;0.000027;0.000191;-0.000973
b28,,,,0.000125;-0.023688;0.010624;0.000016;0.000190;-0.000986
b29,,,,0.000249;-0.024512;0.010631;0.000004;0.000187;-0.000998
b30,,,,0.000362;-0.025333;0.010631;-0.000008;0.000183;-0.001011
b31,,,,0.000466;-0.026173;0.010623;-0.000022;0.000176;-0.001023
b32,,,,0.000550;-0.026959;0.010610;-0.000036;0.000168;-0.001035
b33,,,,0.000614;-0.027758;0.010593;-0.000051;0.000159;-0.001046
b34,,,,0.000656;-0.028570;0.010573;-0.000067;0.000149;-0.001058
b35,,,,0.000685;-0.029324;0.010557;-0.000083;0.000139;-0.001069
b36,,,,0.000703;-0.029856;0.010548;-0.000094;0.000132;-0.001076
b37,,,,0.000734;-0.030840;0.010544;-0.000115;0.000119;-0.001090
b38,,,,0.000756;-0.031586;0.010554;-0.000130;0.000109;-0.001099
b39,,,,0.000769;-0.032348;0.010580;-0.000145;0.000099;-0.001109
b40,,,,0.000766;-0.033064;0.010618;-0.000158;0.000090;-0.001117
b41,,,,0.000738;-0.033818;0.010671;-0.000171;0.000082;-0.001125
b42,,,,0.000678;-0.034785;0.010758;-0.000186;0.000074;-0.001135
b43,,,,0.000646;-0.035481;0.010834;-0.000197;0.000070;-0.001142
b44,,,,0.000631;-0.036211;0.010928;-0.000206;0.000067;-0.001149
b45,,,,0.000632;-0.036662;0.010992;-0.000211;0.000066;-0.001153
b46,,,,0.000637;-0.037619;0.011145;-0.000221;0.000065;-0.001161
b47,,,,0.000648;-0.038314;0.011271;-0.000226;0.000064;-0.001166
b48,,,,0.000665;-0.038979;0.011406;-0.000229;0.000065;-0.001171
b49,,,,0.000680;-0.039673;0.011559;-0.000230;0.000066;-0.001176
b50,,,,0.000692;-0.040317;0.011714;-0.000229;0.000068;-0.001181
b51,,,,0.000701;-0.040984;0.011887;-0.000226;0.000071;-0.001185
b52,,,,0.000707;-0.041605;0.012057;-0.000220;0.000075;-0.001189
b53,,,,0.000710;-0.042444;0.012301;-0.000206;0.000082;-0.001195
b54,,,,0.000707;-0.043070;0.012488;-0.000192;0.000089;-0.001198
b55,,,,0.000696;-0.043690;0.012676;-0.000175;0.000097;-0.001202
b56,,,,0.000674;-0.044319;0.012871;-0.000154;0.000106;-0.001205
b57,,,,0.000650;-0.044905;0.013056;-0.000131;0.000117;-0.001208
b58,,,,0.000623;-0.045502;0.013246;-0.000103;0.000131;-0.001211
b59,,,,0.000600;-0.046095;0.013435;-0.000072;0.000145;-0.001213
b60,,,,0.000582;-0.046692;0.013622;-0.000038;0.000162;-0.001215
b61,,,,0.000569;-0.047316;0.013812;0.000001;0.000181;-0.001217
b62,,,,0.000574;-0.047939;0.013992;0.000043;0.000200;-0.001218
b63,,,,0.000715;-0.049922;0.014481;0.000179;0.000260;-0.001217
b64,,,,0.000727;-0.050044;0.014507;0.000187;0.000263;-0.001217
b65,,,,0.000731;-0.050084;0.014515;0.000190;0.000264;-0.001216
b66,,,,0.000927;-0.052042;0.014867;0.000315;0.000314;-0.001210
b67,,,,0.001102;-0.054217;0.015162;0.000435;0.000361;-0.001200
b68,,,,0.001237;-0.056603;0.015426;0.000537;0.000405;-0.001188
b69,,,,0.001337;-0.059160;0.015596;0.000613;0.000444;-0.001174
b70,,,,0.001378;-0.061805;0.015584;0.000656;0.000478;-0.001157
b71,,,,0.001316;-0.064440;0.015431;0.000665;0.000507;-0.001138
b72,,,,0.001126;-0.066943;0.014972;0.000645;0.000539;-0.001116
b73,,,,0.000875;-0.069233;0.014233;0.000606;0.000588;-0.001092
b74,,,,0.000599;-0.071304;0.013368;0.000562;0.000655;-0.001066
b75,,,,0.000313;-0.073199;0.012618;0.000526;0.000742;-0.001037
b76,,,,0.000018;-0.074982;0.012053;0.000506;0.000849;-0.001006
b77,,,,-0.000291;-0.076727;0.011657;0.000504;0.000977;-0.000973
b78,,,,-0.000605;-0.078506;0.011436;0.000524;0.001123;-0.000937
b79,,,,-0.000908;-0.080396;0.011463;0.000563;0.001288;-0.000899
b80,,,,-0.001172;-0.082463;0.011681;0.000613;0.001469;-0.000859
b81,,,,-0.001362;-0.084746;0.012050;0.000662;0.001664;-0.000816
b82,,,,-0.001442;-0.087244;0.012417;0.000701;0.001867;-0.000771
b83,,,,-0.001374;-0.089902;0.012621;0.000717;0.002071;-0.000723
b84,,,,-0.001157;-0.092666;0.012579;0.000705;0.002272;-0.000673
b85,,,,-0.000790;-0.095451;0.012276;0.000660;0.002464;-0.000619
b86,,,,-0.000291;-0.098137;0.011842;0.000585;0.002638;-0.000563
b87,,,,0.000326;-0.100649;0.011523;0.000484;0.002791;-0.000503
b88,,,,0.001055;-0.102943;0.011501;0.000362;0.002922;-0.000440
b89,,,,0.001893;-0.104989;0.011938;0.000225;0.003030;-0.000374
b90,,,,0.002839;-0.106778;0.012846;0.000079;0.003113;-0.000304
b91,,,,0.003878;-0.108303;0.014066;-0.000069;0.003167;-0.000230
b92,,,,0.004983;-0.109596;0.015509;-0.000215;0.003187;-0.000152
b93,,,,0.006097;-0.110700;0.017078;-0.000357;0.003171;-0.000072
b94,,,,0.007194;-0.111670;0.018636;-0.000501;0.003119;0.000013
b95,,,,0.008210;-0.112539;0.020097;-0.000647;0.003034;0.000101
b96,,,,0.009077;-0.113316;0.021387;-0.000797;0.002923;0.000192
b97,,,,0.009775;-0.113970;0.022432;-0.000948;0.002795;0.000287
b98,,,,0.010281;-0.114485;0.023267;-0.001095;0.002660;0.000385
b99,,,,0.010618;-0.114826;0.024016;-0.001229;0.002527;0.000487
b100,,,,0.010898;-0.114941;0.024798;-0.001339;0.002399;0.000591
b101,,,,0.011226;-0.114826;0.025614;-0.001412;0.002274;0.000698
b102,,,,0.011668;-0.114479;0.026414;-0.001436;0.002148;0.000808
b103,,,,0.012312;-0.114022;0.027268;-0.001406;0.001997;0.000921
b104,,,,0.013093;-0.113559;0.028131;-0.001323;0.001802;0.001036
b105,,,,0.013807;-0.113137;0.028900;-0.001197;0.001553;0.001154
b106,,,,0.014152;-0.112824;0.029311;-0.001024;0.001270;0.001274
b107,,,,0.013717;-0.112764;0.029254;-0.000810;0.000991;0.001397
b108,,,,0.012235;-0.113176;0.028760;-0.000557;0.000756;0.001527
b109,,,,0.011192;-0.113902;0.028193;-0.000373;0.000640;0.001622
b110,,,,0.011051;-0.114034;0.028099;-0.000347;0.000626;0.001637
b111,,,,0.010432;-0.114685;0.027690;-0.000241;0.000573;0.001700
b112,,,,0.009641;-0.115575;0.027298;-0.000136;0.000530;0.001775
b113,,,,0.009191;-0.116105;0.027127;-0.000087;0.000515;0.001817
b114,,,,0.008918;-0.116424;0.027042;-0.000060;0.000510;0.001844
b115,,,,0.008795;-0.116563;0.027012;-0.000049;0.000509;0.001856
b116,,,,0.008516;-0.116863;0.026967;-0.000027;0.000509;0.001882
b117,,,,0.007908;-0.117486;0.026981;0.000007;0.000522;0.001939
b118,,,,0.007823;-0.117591;0.027004;0.000012;0.000527;0.001949
b119,,,,0.007755;-0.117688;0.027034;0.000015;0.000532;0.001959
b120,,,,0.007634;-0.117939;0.027159;0.000022;0.000548;0.001986
b121,,,,0.007615;-0.118141;0.027316;0.000024;0.000564;0.002010
b122,,,,0.007625;-0.118203;0.027376;0.000024;0.000569;0.002018
b123,,,,0.007691;-0.118378;0.027570;0.000020;0.000584;0.002040
b124,,,,0.007796;-0.118525;0.027775;0.000013;0.000596;0.002059
b125,,,,0.007839;-0.118569;0.027846;0.000010;0.000599;0.002065
b126,,,,0.007984;-0.118680;0.028061;0.000001;0.000605;0.002080
b127,,,,0.008158;-0.118763;0.028296;-0.000012;0.000608;0.002094
b128,,,,0.008341;-0.118810;0.028529;-0.000026;0.000606;0.002105
b129,,,,0.008531;-0.118831;0.028757;-0.000041;0.000600;0.002113
b130,,,,0.008743;-0.118832;0.028997;-0.000057;0.000589;0.002121
b131,,,,0.008964;-0.118824;0.029223;-0.000072;0.000573;0.002126
b132,,,,0.009211;-0.118811;0.029458;-0.000087;0.000550;0.002131
b133,,,,0.009457;-0.118795;0.029682;-0.000103;0.000521;0.002133
b134,,,,0.009706;-0.118774;0.029895;-0.000117;0.000487;0.002135
b135,,,,0.009971;-0.118747;0.030111;-0.000132;0.000445;0.002135
b136,,,,0.010218;-0.118712;0.030312;-0.000145;0.000399;0.002134
b137,,,,0.010464;-0.118663;0.030519;-0.000158;0.000345;0.002133
b138,,,,0.010534;-0.118646;0.030580;-0.000162;0.000328;0.002132
b139,,,,0.010608;-0.118626;0.030647;-0.000166;0.000308;0.002131
b140,,,,0.010818;-0.118558;0.030851;-0.000176;0.000246;0.002129
b141,,,,0.010998;-0.118492;0.031049;-0.000186;0.000181;0.002127
b142,,,,0.011156;-0.118431;0.031242;-0.000193;0.000115;0.002126
b143,,,,0.011297;-0.118370;0.031447;-0.000200;0.000041;0.002124
b144,,,,0.011401;-0.118311;0.031643;-0.000205;-0.000031;0.002122
b145,,,,0.011477;-0.118244;0.031851;-0.000209;-0.000109;0.002120
b146,,,,0.011526;-0.118162;0.032123;-0.000212;-0.000213;0.002118
b147,,,,0.011538;-0.118117;0.032321;-0.000213;-0.000289;0.002117
b148,,,,0.011527;-0.118082;0.032530;-0.000213;-0.000369;0.002116
