key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b70,,,,0.001034;-0.062716;0.016439;0.000542;0.000588;-0.000232
b71,,,,0.001138;-0.065005;0.015815;0.000529;0.000661;-0.000207
b72,,,,0.001142;-0.067091;0.014927;0.000497;0.000732;-0.000182
b73,,,,0.001056;-0.068963;0.013933;0.000459;0.000807;-0.000158
b74,,,,0.000881;-0.070660;0.013078;0.000426;0.000892;-0.000134
b75,,,,0.000626;-0.072246;0.012428;0.000406;0.000990;-0.000111
b76,,,,0.000297;-0.073794;0.011965;0.000402;0.001105;-0.000089
b77,,,,-0.000082;-0.075372;0.011692;0.000417;0.001241;-0.000067
b78,,,,-0.000474;-0.077055;0.011677;0.000448;0.001396;-0.000046
b79,,,,-0.000832;-0.078911;0.011861;0.000486;0.001571;-0.000026
b80,,,,-0.001110;-0.080979;0.012203;0.000524;0.001763;-0.000007
b81,,,,-0.001261;-0.083254;0.012547;0.000547;0.001965;0.000012
b82,,,,-0.001242;-0.085681;0.012732;0.000548;0.002171;0.000031
b83,,,,-0.001051;-0.088206;0.012675;0.000519;0.002373;0.000049
b84,,,,-0.000691;-0.090741;0.012359;0.000456;0.002565;0.000067
b85,,,,-0.000187;-0.093167;0.011916;0.000364;0.002737;0.000085
b86,,,,0.000437;-0.095409;0.011592;0.000246;0.002885;0.000104
b87,,,,0.001170;-0.097422;0.011570;0.000108;0.003010;0.000122
b88,,,,0.002000;-0.099176;0.012012;-0.000045;0.003109;0.000142
b89,,,,0.002922;-0.100656;0.012929;-0.000205;0.003181;0.000162
b90,,,,0.003919;-0.101848;0.014165;-0.000367;0.003222;0.000182
b91,,,,0.004966;-0.102775;0.015630;-0.000525;0.003230;0.000204
b92,,,,0.006019;-0.103478;0.017226;-0.000674;0.003200;0.000225
b93,,,,0.007064;-0.104018;0.018815;-0.000819;0.003131;0.000248
b94,,,,0.008044;-0.104439;0.020308;-0.000962;0.003025;0.000271
b95,,,,0.008887;-0.104764;0.021631;-0.001102;0.002886;0.000294
b96,,,,0.009554;-0.104982;0.022707;-0.001241;0.002723;0.000318
b97,,,,0.009998;-0.105091;0.023566;-0.001374;0.002545;0.000342
b98,,,,0.010205;-0.105071;0.024332;-0.001495;0.002366;0.000367
b99,,,,0.010245;-0.104864;0.025117;-0.001596;0.002193;0.000391
b100,,,,0.010187;-0.104461;0.025920;-0.001665;0.002031;0.000416
b101,,,,0.010078;-0.103873;0.026687;-0.001692;0.001885;0.000439
b102,,,,0.010021;-0.103157;0.027487;-0.001666;0.001740;0.000463
b103,,,,0.010009;-0.102413;0.028275;-0.001584;0.001585;0.000485
