key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,-0.000033;-0.000439;0.000364;0.000116;0.001141;-0.000536
b1,,,,-0.000073;-0.001145;0.000973;0.000117;0.001148;-0.000539
b2,,,,-0.000080;-0.002123;0.001867;0.000118;0.001158;-0.000544
b3,,,,0.000027;-0.003795;0.003404;0.000123;0.001170;-0.000553
b4,,,,0.000053;-0.004015;0.003597;0.000123;0.001171;-0.000554
b5,,,,0.000202;-0.005009;0.004413;0.000127;0.001173;-0.000559
b6,,,,0.000335;-0.005730;0.004954;0.000129;0.001172;-0.000563
b7,,,,0.000486;-0.006484;0.005475;0.000132;0.001166;-0.000567
b8,,,,0.000648;-0.007270;0.005970;0.000135;0.001157;-0.000571
b9,,,,0.000799;-0.008022;0.006401;0.000137;0.001144;-0.000574
b10,,,,0.000946;-0.008825;0.006816;0.000138;0.001127;-0.000578
b11,,,,0.001071;-0.009609;0.007179;0.000139;0.001107;-0.000582
b12,,,,0.001169;-0.010375;0.007493;0.000139;0.001085;-0.000585
b13,,,,0.001240;-0.011164;0.007775;0.000138;0.001059;-0.000589
b14,,,,0.001285;-0.011974;0.008024;0.000136;0.001032;-0.000592
b15,,,,0.001305;-0.012739;0.008224;0.000133;0.001005;-0.000596
b16,,,,0.001304;-0.013521;0.008394;0.000129;0.000976;-0.000599
b17,,,,0.001283;-0.014297;0.008532;0.000124;0.000947;-0.000603
b18,,,,0.001243;-0.015091;0.008641;0.000118;0.000917;-0.000607
b19,,,,0.001177;-0.016097;0.008735;0.000110;0.000881;-0.000612
b20,,,,0.001121;-0.016868;0.008777;0.000103;0.000853;-0.000616
b21,,,,0.001063;-0.017660;0.008795;0.000095;0.000826;-0.000619
b22,,,,0.001009;-0.018431;0.008788;0.000087;0.000799;-0.000623
b23,,,,0.000959;-0.019204;0.008759;0.000079;0.000774;-0.000626
b24,,,,0.000904;-0.020237;0.008689;0.000066;0.000740;-0.000630
b25,,,,0.000876;-0.020994;0.008616;0.000056;0.000717;-0.000633
b26,,,,0.000865;-0.021514;0.008556;0.000048;0.000700;-0.000635
b27,,,,0.000858;-0.022297;0.008453;0.000036;0.000676;-0.000638
