key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,0.000018;-0.000481;0.000485;0.000049;-0.000849;-0.000745
b1,,,,0.000008;-0.001252;0.001273;0.000050;-0.000854;-0.000750
b2,,,,-0.000126;-0.002300;0.002365;0.000051;-0.000859;-0.000759
b3,,,,-0.000597;-0.004054;0.004119;0.000058;-0.000851;-0.000778
b4,,,,-0.000964;-0.005053;0.004988;0.000065;-0.000835;-0.000791
b5,,,,-0.001278;-0.005837;0.005595;0.000071;-0.000815;-0.000802
b6,,,,-0.001387;-0.006103;0.005787;0.000073;-0.000807;-0.000805
b7,,,,-0.001725;-0.006916;0.006335;0.000079;-0.000777;-0.000817
b8,,,,-0.002082;-0.007767;0.006858;0.000085;-0.000740;-0.000830
b9,,,,-0.002414;-0.008584;0.007315;0.000090;-0.000696;-0.000842
b10,,,,-0.002744;-0.009455;0.007764;0.000095;-0.000644;-0.000857
b11,,,,-0.003092;-0.010592;0.008295;0.000098;-0.000566;-0.000876
b12,,,,-0.003291;-0.011709;0.008768;0.000100;-0.000482;-0.000898
b13,,,,-0.003334;-0.012561;0.009102;0.000099;-0.000415;-0.000915
b14,,,,-0.003298;-0.013431;0.009421;0.000098;-0.000346;-0.000932
b15,,,,-0.003197;-0.014269;0.009706;0.000096;-0.000280;-0.000951
b16,,,,-0.003051;-0.015072;0.009961;0.000093;-0.000219;-0.000969
b17,,,,-0.002863;-0.015887;0.010199;0.000089;-0.000160;-0.000988
b18,,,,-0.002643;-0.016694;0.010414;0.000086;-0.000104;-0.001008
b19,,,,-0.002394;-0.017523;0.010611;0.000081;-0.000053;-0.001030
b20,,,,-0.002139;-0.018330;0.010783;0.000076;-0.000008;-0.001050
b21,,,,-0.001874;-0.019143;0.010936;0.000071;0.000032;-0.001071
b22,,,,-0.001610;-0.019939;0.011064;0.000067;0.000066;-0.001092
b23,,,,-0.001333;-0.020767;0.011174;0.000062;0.000096;-0.001113
b24,,,,-0.001053;-0.021620;0.011268;0.000056;0.000120;-0.001134
b25,,,,-0.000800;-0.022431;0.011338;0.000049;0.000138;-0.001155
b26,,,,-0.000558;-0.023264;0.011393;0.000042;0.000152;-0.001176
b27,,,,-0.000332;-0.024121;0.011432;0.000033;0.000162;-0.001198
b28,,,,-0.000129;-0.024929;0.011457;0.000024;0.000167;-0.001219
b29,,,,0.000065;-0.025760;0.011472;0.000015;0.000168;-0.001240
b30,,,,0.000242;-0.026616;0.011475;0.000003;0.000166;-0.001262
b31,,,,0.000388;-0.027427;0.011468;-0.000008;0.000161;-0.001282
b32,,,,0.000513;-0.028284;0.011450;-0.000022;0.000153;-0.001303
b33,,,,0.000602;-0.029090;0.011426;-0.000035;0.000144;-0.001323
b34,,,,0.000678;-0.029913;0.011394;-0.000049;0.000134;-0.001343
b35,,,,0.000748;-0.030755;0.011356;-0.000064;0.000122;-0.001364
b36,,,,0.000799;-0.031550;0.011318;-0.000079;0.000110;-0.001383
b37,,,,0.000834;-0.032387;0.011278;-0.000094;0.000097;-0.001403
b38,,,,0.000848;-0.033173;0.011242;-0.000108;0.000084;-0.001421
b39,,,,0.000835;-0.033977;0.011209;-0.000122;0.000071;-0.001440
b40,,,,0.000785;-0.034797;0.011180;-0.000137;0.000059;-0.001458
b41,,,,0.000712;-0.035560;0.011160;-0.000150;0.000050;-0.001475
b42,,,,0.000592;-0.036608;0.011150;-0.000169;0.000039;-0.001499
b43,,,,0.000533;-0.037374;0.011158;-0.000181;0.000035;-0.001515
b44,,,,0.000509;-0.038112;0.011179;-0.000192;0.000032;-0.001530
b45,,,,0.000487;-0.039130;0.011242;-0.000206;0.000029;-0.001551
b46,,,,0.000468;-0.039860;0.011309;-0.000214;0.000029;-0.001565
b47,,,,0.000443;-0.040558;0.011389;-0.000221;0.000030;-0.001579
b48,,,,0.000414;-0.041286;0.011486;-0.000226;0.000033;-0.001592
b49,,,,0.000385;-0.041962;0.011590;-0.000228;0.000037;-0.001604
b50,,,,0.000353;-0.042666;0.011713;-0.000229;0.000042;-0.001617
b51,,,,0.000325;-0.043317;0.011839;-0.000226;0.000049;-0.001628
b52,,,,0.000291;-0.044181;0.012029;-0.000219;0.000059;-0.001642
b53,,,,0.000263;-0.044812;0.012182;-0.000209;0.000069;-0.001653
b54,,,,0.000231;-0.045430;0.012345;-0.000196;0.000081;-0.001663
b55,,,,0.000194;-0.046057;0.012519;-0.000177;0.000094;-0.001673
b56,,,,0.000157;-0.046641;0.012692;-0.000157;0.000108;-0.001681
b57,,,,0.000122;-0.047236;0.012874;-0.000131;0.000125;-0.001690
b58,,,,0.000095;-0.047829;0.013059;-0.000101;0.000144;-0.001698
b59,,,,0.000077;-0.048426;0.013246;-0.000067;0.000163;-0.001705
b60,,,,0.000071;-0.049052;0.013438;-0.000027;0.000185;-0.001712
b61,,,,0.000087;-0.049679;0.013625;0.000015;0.000207;-0.001717
b62,,,,0.000287;-0.051697;0.014147;0.000156;0.000270;-0.001728
b63,,,,0.000306;-0.051841;0.014179;0.000166;0.000274;-0.001728
b64,,,,0.000545;-0.053827;0.014567;0.000297;0.000321;-0.001730
b65,,,,0.000738;-0.056046;0.014901;0.000423;0.000362;-0.001726
b66,,,,0.000860;-0.058496;0.015205;0.000534;0.000398;-0.001719
b67,,,,0.000927;-0.061139;0.015414;0.000618;0.000428;-0.001708
b68,,,,0.000918;-0.063884;0.015435;0.000669;0.000454;-0.001692
b69,,,,0.000797;-0.066627;0.015311;0.000683;0.000475;-0.001673
b70,,,,0.000547;-0.069237;0.014876;0.000666;0.000503;-0.001650
b71,,,,0.000240;-0.071630;0.014156;0.000631;0.000547;-0.001623
b72,,,,-0.000084;-0.073797;0.013306;0.000590;0.000612;-0.001592
b73,,,,-0.000407;-0.075780;0.012569;0.000556;0.000698;-0.001557
b74,,,,-0.000727;-0.077645;0.012014;0.000539;0.000804;-0.001518
b75,,,,-0.001053;-0.079466;0.011626;0.000541;0.000931;-0.001475
b76,,,,-0.001379;-0.081316;0.011413;0.000566;0.001077;-0.001428
b77,,,,-0.001690;-0.083276;0.011446;0.000610;0.001240;-0.001377
