key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,0.000002;-0.000058;0.000081;0.000010;0.000177;-0.000247
b1,,,,0.000029;-0.000899;0.001249;0.000010;0.000186;-0.000260
b2,,,,0.000073;-0.002039;0.002831;0.000012;0.000199;-0.000280
b3,,,,0.000131;-0.003935;0.005295;0.000020;0.000220;-0.000315
b4,,,,0.000170;-0.005006;0.006477;0.000028;0.000231;-0.000335
b5,,,,0.000217;-0.005859;0.007286;0.000035;0.000237;-0.000351
b6,,,,0.000233;-0.006149;0.007539;0.000037;0.000239;-0.000356
b7,,,,0.000277;-0.007035;0.008248;0.000045;0.000245;-0.000372
b8,,,,0.000311;-0.007968;0.008903;0.000052;0.000249;-0.000387
b9,,,,0.000326;-0.008865;0.009460;0.000057;0.000253;-0.000402
b10,,,,0.000320;-0.009822;0.009985;0.000062;0.000256;-0.000418
b11,,,,0.000293;-0.010754;0.010439;0.000066;0.000259;-0.000434
b12,,,,0.000244;-0.011660;0.010837;0.000068;0.000263;-0.000449
b13,,,,0.000177;-0.012590;0.011205;0.000069;0.000268;-0.000466
b14,,,,0.000108;-0.013545;0.011545;0.000069;0.000274;-0.000482
b15,,,,0.000052;-0.014446;0.011830;0.000068;0.000282;-0.000498
b16,,,,-0.000013;-0.015703;0.012169;0.000066;0.000293;-0.000520
b17,,,,-0.000051;-0.016624;0.012373;0.000063;0.000303;-0.000537
b18,,,,-0.000073;-0.017517;0.012536;0.000059;0.000313;-0.000553
b19,,,,-0.000078;-0.018436;0.012672;0.000055;0.000323;-0.000570
b20,,,,-0.000066;-0.019353;0.012781;0.000050;0.000334;-0.000586
b21,,,,-0.000028;-0.020292;0.012868;0.000044;0.000345;-0.000604
b22,,,,0.000043;-0.021201;0.012929;0.000038;0.000355;-0.000620
b23,,,,0.000147;-0.022104;0.012969;0.000031;0.000363;-0.000637
b24,,,,0.000275;-0.022978;0.012988;0.000024;0.000369;-0.000654
b25,,,,0.000429;-0.023872;0.012989;0.000017;0.000373;-0.000670
b26,,,,0.000546;-0.024491;0.012979;0.000011;0.000374;-0.000682
b27,,,,0.000704;-0.025359;0.012948;0.000004;0.000373;-0.000698
b28,,,,0.000856;-0.026254;0.012897;-0.000005;0.000369;-0.000714
b29,,,,0.001001;-0.027152;0.012826;-0.000013;0.000363;-0.000730
b30,,,,0.001133;-0.028052;0.012737;-0.000022;0.000355;-0.000745
b31,,,,0.001247;-0.028983;0.012627;-0.000031;0.000344;-0.000760
b32,,,,0.001335;-0.029868;0.012508;-0.000040;0.000333;-0.000774
b33,,,,0.001398;-0.030779;0.012372;-0.000051;0.000320;-0.000788
b34,,,,0.001426;-0.031714;0.012219;-0.000062;0.000308;-0.000801
b35,,,,0.001426;-0.032591;0.012063;-0.000074;0.000296;-0.000814
b36,,,,0.001421;-0.033514;0.011887;-0.000086;0.000285;-0.000827
b37,,,,0.001417;-0.034383;0.011711;-0.000099;0.000276;-0.000839
b38,,,,0.001418;-0.035274;0.011526;-0.000111;0.000266;-0.000851
b39,,,,0.001428;-0.036183;0.011333;-0.000125;0.000258;-0.000862
b40,,,,0.001448;-0.037035;0.011157;-0.000138;0.000250;-0.000872
b41,,,,0.001481;-0.037928;0.010978;-0.000151;0.000243;-0.000883
b42,,,,0.001531;-0.038765;0.010820;-0.000163;0.000236;-0.000892
b43,,,,0.001620;-0.039651;0.010670;-0.000176;0.000228;-0.000901
b44,,,,0.001744;-0.040512;0.010548;-0.000189;0.000219;-0.000909
b45,,,,0.001897;-0.041343;0.010456;-0.000200;0.000208;-0.000915
b46,,,,0.002071;-0.042221;0.010390;-0.000211;0.000195;-0.000921
b47,,,,0.002243;-0.043051;0.010359;-0.000221;0.000180;-0.000926
b48,,,,0.002433;-0.043925;0.010362;-0.000231;0.000162;-0.000931
b49,,,,0.002616;-0.044768;0.010402;-0.000240;0.000142;-0.000934
b50,,,,0.002785;-0.045576;0.010478;-0.000248;0.000120;-0.000936
b51,,,,0.002946;-0.046414;0.010602;-0.000255;0.000095;-0.000938
b52,,,,0.003066;-0.047188;0.010761;-0.000260;0.000069;-0.000939
b53,,,,0.003150;-0.047966;0.010971;-0.000263;0.000042;-0.000939
b54,,,,0.003194;-0.048731;0.011234;-0.000264;0.000016;-0.000938
b55,,,,0.003185;-0.049500;0.011563;-0.000262;-0.000011;-0.000936
b56,,,,0.003131;-0.050205;0.011921;-0.000257;-0.000033;-0.000934
b57,,,,0.003036;-0.050908;0.012330;-0.000249;-0.000054;-0.000931
b58,,,,0.002906;-0.051571;0.012775;-0.000236;-0.000071;-0.000929
b59,,,,0.002749;-0.052211;0.013257;-0.000218;-0.000083;-0.000925
b60,,,,0.002565;-0.052857;0.013784;-0.000194;-0.000090;-0.000921
b61,,,,0.002374;-0.053461;0.014304;-0.000166;-0.000092;-0.000918
b62,,,,0.002090;-0.054300;0.015035;-0.000120;-0.000083;-0.000911
b63,,,,0.002013;-0.054533;0.015234;-0.000106;-0.000079;-0.000909
b64,,,,0.001477;-0.056556;0.016804;0.000029;-0.000017;-0.000891
b65,,,,0.001453;-0.056681;0.016889;0.000038;-0.000012;-0.000889
b66,,,,0.001196;-0.058788;0.018095;0.000179;0.000081;-0.000868
b67,,,,0.001165;-0.061181;0.019025;0.000317;0.000194;-0.000845
b68,,,,0.001354;-0.063857;0.019673;0.000435;0.000315;-0.000821
b69,,,,0.001724;-0.066709;0.019938;0.000521;0.000427;-0.000797
b70,,,,0.002173;-0.069637;0.019719;0.000569;0.000522;-0.000771
b71,,,,0.002568;-0.072526;0.019075;0.000581;0.000593;-0.000745
b72,,,,0.002819;-0.075249;0.017888;0.000562;0.000649;-0.000717
b73,,,,0.002960;-0.077705;0.016261;0.000522;0.000703;-0.000689
b74,,,,0.003007;-0.079880;0.014440;0.000475;0.000764;-0.000660
b75,,,,0.002966;-0.081822;0.012766;0.000436;0.000835;-0.000630
b76,,,,0.002840;-0.083614;0.011388;0.000416;0.000921;-0.000599
b77,,,,0.002628;-0.085348;0.010341;0.000420;0.001028;-0.000568
b78,,,,0.002354;-0.087109;0.009647;0.000450;0.001155;-0.000536
b79,,,,0.002055;-0.088996;0.009353;0.000504;0.001305;-0.000503
b80,,,,0.001778;-0.091095;0.009347;0.000573;0.001478;-0.000470
b81,,,,0.001579;-0.093460;0.009514;0.000643;0.001670;-0.000436
b82,,,,0.001508;-0.096095;0.009623;0.000700;0.001876;-0.000401
b83,,,,0.001622;-0.098934;0.009457;0.000732;0.002087;-0.000366
b84,,,,0.001922;-0.101915;0.008918;0.000729;0.002299;-0.000329
b85,,,,0.002412;-0.104931;0.008022;0.000687;0.002502;-0.000291
b86,,,,0.003069;-0.107834;0.006979;0.000609;0.002685;-0.000251
b87,,,,0.003870;-0.110535;0.006145;0.000498;0.002844;-0.000209
b88,,,,0.004806;-0.112979;0.005813;0.000361;0.002980;-0.000166
b89,,,,0.005864;-0.115131;0.006236;0.000205;0.003090;-0.000120
b90,,,,0.007037;-0.116978;0.007471;0.000039;0.003173;-0.000072
b91,,,,0.008307;-0.118504;0.009355;-0.000129;0.003224;-0.000021
b92,,,,0.009642;-0.119746;0.011748;-0.000293;0.003240;0.000031
b93,,,,0.010983;-0.120757;0.014469;-0.000450;0.003216;0.000086
b94,,,,0.012304;-0.121618;0.017277;-0.000603;0.003152;0.000143
b95,,,,0.013530;-0.122380;0.019985;-0.000756;0.003050;0.000203
b96,,,,0.014580;-0.123073;0.022437;-0.000910;0.002919;0.000264
b97,,,,0.015415;-0.123668;0.024505;-0.001065;0.002768;0.000328
b98,,,,0.016002;-0.124152;0.026192;-0.001218;0.002610;0.000393
b99,,,,0.016363;-0.124478;0.027624;-0.001361;0.002458;0.000460
b100,,,,0.016625;-0.124569;0.028927;-0.001481;0.002318;0.000529
b101,,,,0.016918;-0.124402;0.030112;-0.001564;0.002190;0.000599
b102,,,,0.017333;-0.123962;0.031132;-0.001597;0.002069;0.000670
b103,,,,0.017988;-0.123381;0.032051;-0.001569;0.001928;0.000742
b104,,,,0.018826;-0.122784;0.032810;-0.001479;0.001746;0.000816
b105,,,,0.019614;-0.122245;0.033299;-0.001339;0.001511;0.000890
b106,,,,0.020012;-0.121854;0.033262;-0.001145;0.001242;0.000966
b107,,,,0.019555;-0.121782;0.032635;-0.000907;0.000980;0.001041
b108,,,,0.017918;-0.122275;0.031492;-0.000630;0.000774;0.001120
b109,,,,0.016742;-0.123108;0.030495;-0.000431;0.000690;0.001175
b110,,,,0.016584;-0.123257;0.030343;-0.000404;0.000681;0.001184
b111,,,,0.015915;-0.123997;0.029695;-0.000292;0.000655;0.001219
b112,,,,0.015248;-0.125006;0.028981;-0.000183;0.000647;0.001257
b113,,,,0.015154;-0.125188;0.028862;-0.000168;0.000648;0.001263
b114,,,,0.014824;-0.125954;0.028384;-0.000110;0.000655;0.001289
