key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b70,,,,0.008872;-0.062981;0.015781;0.000748;0.000513;-0.000951
b71,,,,0.008875;-0.065823;0.015723;0.000732;0.000546;-0.000929
b72,,,,0.008750;-0.068426;0.015201;0.000678;0.000584;-0.000905
b73,,,,0.008604;-0.070684;0.014251;0.000604;0.000637;-0.000879
b74,,,,0.008478;-0.072604;0.013066;0.000531;0.000708;-0.000852
b75,,,,0.008366;-0.074265;0.011950;0.000476;0.000795;-0.000823
b76,,,,0.008237;-0.075773;0.011028;0.000450;0.000897;-0.000792
b77,,,,0.008033;-0.077235;0.010325;0.000459;0.001016;-0.000760
b78,,,,0.007740;-0.078742;0.009862;0.000504;0.001155;-0.000727
b79,,,,0.007371;-0.080409;0.009693;0.000581;0.001316;-0.000692
b80,,,,0.006970;-0.082343;0.009719;0.000679;0.001501;-0.000656
b81,,,,0.006595;-0.084619;0.009841;0.000781;0.001710;-0.000619
b82,,,,0.006322;-0.087253;0.009845;0.000868;0.001940;-0.000580
b83,,,,0.006240;-0.090160;0.009532;0.000922;0.002183;-0.000539
b84,,,,0.006381;-0.093257;0.008821;0.000935;0.002433;-0.000497
b85,,,,0.006779;-0.096407;0.007746;0.000898;0.002680;-0.000452
b86,,,,0.007437;-0.099416;0.006531;0.000814;0.002907;-0.000405
b87,,,,0.008344;-0.102174;0.005546;0.000690;0.003106;-0.000355
b88,,,,0.009480;-0.104626;0.005098;0.000533;0.003273;-0.000302
b89,,,,0.010802;-0.106734;0.005446;0.000351;0.003405;-0.000245
b90,,,,0.012262;-0.108465;0.006653;0.000152;0.003499;-0.000186
b91,,,,0.013808;-0.109764;0.008561;-0.000055;0.003552;-0.000122
b92,,,,0.015380;-0.110641;0.011027;-0.000258;0.003561;-0.000055
b93,,,,0.016910;-0.111150;0.013862;-0.000447;0.003526;0.000016
b94,,,,0.018407;-0.111405;0.016814;-0.000623;0.003443;0.000089
b95,,,,0.019802;-0.111519;0.019685;-0.000789;0.003314;0.000166
b96,,,,0.021010;-0.111581;0.022308;-0.000944;0.003146;0.000247
b97,,,,0.021963;-0.111616;0.024543;-0.001094;0.002948;0.000330
b98,,,,0.022586;-0.111647;0.026392;-0.001241;0.002736;0.000416
b99,,,,0.022861;-0.111633;0.027973;-0.001384;0.002528;0.000505
b100,,,,0.022893;-0.111447;0.029411;-0.001514;0.002339;0.000596
b101,,,,0.022815;-0.111024;0.030713;-0.001619;0.002177;0.000690
b102,,,,0.022726;-0.110307;0.031826;-0.001686;0.002045;0.000786
b103,,,,0.022815;-0.109353;0.032807;-0.001692;0.001924;0.000883
b104,,,,0.023113;-0.108288;0.033587;-0.001628;0.001793;0.000982
b105,,,,0.023494;-0.107285;0.034045;-0.001496;0.001632;0.001083
b106,,,,0.023758;-0.106477;0.033919;-0.001299;0.001453;0.001184
b107,,,,0.023644;-0.106051;0.033134;-0.001051;0.001281;0.001287
b108,,,,0.022958;-0.106224;0.031762;-0.000758;0.001136;0.001397
b109,,,,0.022730;-0.106471;0.031192;-0.000654;0.001097;0.001436
b110,,,,0.022455;-0.106952;0.030402;-0.000517;0.001053;0.001489
b111,,,,0.022246;-0.107406;0.029820;-0.000421;0.001025;0.001530
b112,,,,0.021793;-0.108395;0.028799;-0.000261;0.000989;0.001606
b113,,,,0.021729;-0.108551;0.028657;-0.000240;0.000985;0.001617
b114,,,,0.021469;-0.109231;0.028084;-0.000159;0.000972;0.001665
b115,,,,0.021411;-0.109378;0.027971;-0.000143;0.000970;0.001675
b116,,,,0.021211;-0.109854;0.027643;-0.000097;0.000966;0.001708
b117,,,,0.020973;-0.110403;0.027335;-0.000052;0.000967;0.001748
b118,,,,0.020929;-0.110529;0.027278;-0.000043;0.000968;0.001757
b119,,,,0.020841;-0.110871;0.027152;-0.000021;0.000972;0.001783
b120,,,,0.020805;-0.111193;0.027071;-0.000005;0.000977;0.001808
b121,,,,0.020804;-0.111282;0.027054;-0.000002;0.000979;0.001815
b122,,,,0.020806;-0.111374;0.027039;0.000001;0.000980;0.001823
b123,,,,0.020834;-0.111633;0.027009;0.000006;0.000985;0.001845
b124,,,,0.020886;-0.111846;0.027002;0.000007;0.000988;0.001865
b125,,,,0.020933;-0.111967;0.027007;0.000005;0.000989;0.001878
b126,,,,0.021020;-0.112119;0.027029;-0.000001;0.000990;0.001895
b127,,,,0.021116;-0.112237;0.027065;-0.000010;0.000987;0.001911
b128,,,,0.021222;-0.112335;0.027119;-0.000022;0.000982;0.001926
b129,,,,0.021326;-0.112404;0.027182;-0.000034;0.000975;0.001940
b130,,,,0.021437;-0.112453;0.027263;-0.000049;0.000965;0.001953
b131,,,,0.021546;-0.112478;0.027352;-0.000064;0.000952;0.001964
b132,,,,0.021646;-0.112482;0.027449;-0.000078;0.000937;0.001974
b133,,,,0.021734;-0.112467;0.027560;-0.000094;0.000919;0.001984
b134,,,,0.021798;-0.112437;0.027672;-0.000108;0.000899;0.001992
