key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,-0.000000;-0.000055;0.000049;0.000039;-0.000007;-0.000294
b1,,,,-0.000016;-0.000843;0.000766;0.000042;-0.000008;-0.000310
b2,,,,-0.000084;-0.001920;0.001780;0.000045;-0.000007;-0.000332
b3,,,,-0.000275;-0.003729;0.003455;0.000056;-0.000001;-0.000370
b4,,,,-0.000377;-0.004759;0.004306;0.000065;0.000007;-0.000390
b5,,,,-0.000434;-0.005568;0.004908;0.000072;0.000015;-0.000406
b6,,,,-0.000448;-0.005843;0.005099;0.000074;0.000018;-0.000411
b7,,,,-0.000485;-0.006679;0.005649;0.000081;0.000027;-0.000426
b8,,,,-0.000515;-0.007555;0.006179;0.000088;0.000037;-0.000441
b9,,,,-0.000541;-0.008394;0.006648;0.000095;0.000047;-0.000454
b10,,,,-0.000570;-0.009287;0.007114;0.000100;0.000058;-0.000469
b11,,,,-0.000602;-0.010161;0.007538;0.000105;0.000070;-0.000482
b12,,,,-0.000639;-0.011013;0.007923;0.000109;0.000081;-0.000495
b13,,,,-0.000682;-0.011894;0.008292;0.000112;0.000093;-0.000508
b14,,,,-0.000723;-0.012806;0.008644;0.000113;0.000107;-0.000520
b15,,,,-0.000757;-0.013673;0.008951;0.000112;0.000121;-0.000532
b16,,,,-0.000796;-0.014570;0.009239;0.000110;0.000136;-0.000543
b17,,,,-0.000843;-0.015470;0.009497;0.000106;0.000151;-0.000555
b18,,,,-0.000894;-0.016397;0.009734;0.000101;0.000169;-0.000566
b19,,,,-0.000944;-0.017293;0.009937;0.000093;0.000187;-0.000576
b20,,,,-0.000989;-0.018156;0.010109;0.000084;0.000206;-0.000586
b21,,,,-0.001032;-0.019339;0.010310;0.000069;0.000234;-0.000601
b22,,,,-0.001022;-0.020196;0.010436;0.000058;0.000255;-0.000611
b23,,,,-0.000949;-0.021303;0.010582;0.000043;0.000283;-0.000624
b24,,,,-0.000801;-0.022450;0.010709;0.000027;0.000308;-0.000637
b25,,,,-0.000635;-0.023287;0.010786;0.000015;0.000324;-0.000646
b26,,,,-0.000454;-0.024098;0.010848;0.000003;0.000336;-0.000655
b27,,,,-0.000266;-0.024931;0.010898;-0.000009;0.000344;-0.000664
b28,,,,-0.000086;-0.025764;0.010934;-0.000022;0.000349;-0.000672
b29,,,,0.000085;-0.026595;0.010957;-0.000035;0.000351;-0.000680
b30,,,,0.000245;-0.027450;0.010967;-0.000049;0.000349;-0.000687
b31,,,,0.000379;-0.028256;0.010963;-0.000062;0.000345;-0.000694
b32,,,,0.000496;-0.029084;0.010946;-0.000076;0.000339;-0.000700
b33,,,,0.000597;-0.029930;0.010917;-0.000090;0.000331;-0.000707
b34,,,,0.000684;-0.030723;0.010879;-0.000103;0.000322;-0.000713
