key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,-0.000013;-0.000453;0.000458;0.000034;-0.000117;-0.000642
b1,,,,-0.000045;-0.001183;0.001204;0.000034;-0.000117;-0.000646
b2,,,,-0.000123;-0.002185;0.002241;0.000035;-0.000117;-0.000651
b3,,,,-0.000328;-0.003875;0.003907;0.000039;-0.000113;-0.000662
b4,,,,-0.000360;-0.004097;0.004107;0.000040;-0.000112;-0.000663
b5,,,,-0.000509;-0.005092;0.004934;0.000045;-0.000106;-0.000669
b6,,,,-0.000622;-0.005816;0.005467;0.000049;-0.000100;-0.000674
b7,,,,-0.000707;-0.006340;0.005819;0.000051;-0.000095;-0.000677
b8,,,,-0.000833;-0.007081;0.006277;0.000055;-0.000086;-0.000681
b9,,,,-0.000973;-0.007851;0.006706;0.000058;-0.000074;-0.000686
b10,,,,-0.001124;-0.008650;0.007107;0.000061;-0.000060;-0.000690
b11,,,,-0.001323;-0.009692;0.007571;0.000065;-0.000038;-0.000696
b12,,,,-0.001464;-0.010456;0.007871;0.000066;-0.000020;-0.000700
b13,,,,-0.001603;-0.011242;0.008150;0.000067;0.000001;-0.000705
b14,,,,-0.001734;-0.012048;0.008405;0.000067;0.000025;-0.000709
b15,,,,-0.001843;-0.012809;0.008617;0.000066;0.000049;-0.000714
b16,,,,-0.001946;-0.013589;0.008808;0.000065;0.000075;-0.000719
b17,,,,-0.002039;-0.014365;0.008972;0.000062;0.000103;-0.000723
b18,,,,-0.002117;-0.015159;0.009113;0.000058;0.000132;-0.000728
b19,,,,-0.002177;-0.015934;0.009228;0.000054;0.000160;-0.000733
b20,,,,-0.002215;-0.016690;0.009321;0.000049;0.000188;-0.000737
b21,,,,-0.002230;-0.017468;0.009399;0.000046;0.000217;-0.000741
b22,,,,-0.002220;-0.018248;0.009461;0.000042;0.000245;-0.000745
b23,,,,-0.002181;-0.019050;0.009514;0.000037;0.000273;-0.000749
b24,,,,-0.002117;-0.019830;0.009557;0.000032;0.000297;-0.000753
b25,,,,-0.002024;-0.020609;0.009595;0.000027;0.000319;-0.000756
b26,,,,-0.001905;-0.021390;0.009629;0.000020;0.000338;-0.000760
b27,,,,-0.001727;-0.022406;0.009666;0.000011;0.000358;-0.000763
b28,,,,-0.001581;-0.023186;0.009689;0.000003;0.000368;-0.000766
b29,,,,-0.001430;-0.023990;0.009706;-0.000004;0.000376;-0.000768
b30,,,,-0.001290;-0.024752;0.009718;-0.000012;0.000379;-0.000770
b31,,,,-0.001157;-0.025540;0.009727;-0.000020;0.000379;-0.000772
b32,,,,-0.001040;-0.026351;0.009737;-0.000029;0.000376;-0.000773
b33,,,,-0.000951;-0.027119;0.009746;-0.000039;0.000370;-0.000774
b34,,,,-0.000869;-0.027925;0.009758;-0.000049;0.000361;-0.000774
b35,,,,-0.000798;-0.028683;0.009772;-0.000060;0.000350;-0.000774
b36,,,,-0.000730;-0.029458;0.009792;-0.000071;0.000337;-0.000774
b37,,,,-0.000669;-0.030252;0.009820;-0.000083;0.000322;-0.000774
b38,,,,-0.000621;-0.030999;0.009851;-0.000095;0.000306;-0.000773
b39,,,,-0.000584;-0.031784;0.009889;-0.000108;0.000287;-0.000771
b40,,,,-0.000569;-0.032520;0.009929;-0.000121;0.000267;-0.000770
b41,,,,-0.000577;-0.033270;0.009975;-0.000133;0.000246;-0.000768
b42,,,,-0.000612;-0.034272;0.010050;-0.000150;0.000216;-0.000764
b43,,,,-0.000629;-0.034982;0.010112;-0.000161;0.000194;-0.000761
b44,,,,-0.000635;-0.035729;0.010191;-0.000173;0.000170;-0.000758
b45,,,,-0.000633;-0.036192;0.010247;-0.000179;0.000154;-0.000755
b46,,,,-0.000639;-0.037149;0.010389;-0.000192;0.000121;-0.000749
b47,,,,-0.000664;-0.037873;0.010523;-0.000201;0.000095;-0.000745
b48,,,,-0.000713;-0.038544;0.010670;-0.000209;0.000069;-0.000740
b49,,,,-0.000799;-0.039239;0.010851;-0.000215;0.000044;-0.000734
b50,,,,-0.000922;-0.039899;0.011049;-0.000219;0.000020;-0.000728
b51,,,,-0.001133;-0.040738;0.011336;-0.000220;-0.000007;-0.000720
b52,,,,-0.001388;-0.041585;0.011668;-0.000217;-0.000029;-0.000711
b53,,,,-0.001514;-0.041975;0.011834;-0.000213;-0.000037;-0.000707
b54,,,,-0.001723;-0.042598;0.012111;-0.000205;-0.000047;-0.000700
b55,,,,-0.001924;-0.043178;0.012381;-0.000193;-0.000053;-0.000693
b56,,,,-0.002128;-0.043768;0.012666;-0.000178;-0.000055;-0.000685
b57,,,,-0.002329;-0.044348;0.012954;-0.000159;-0.000054;-0.000678
b58,,,,-0.002589;-0.045109;0.013341;-0.000127;-0.000046;-0.000667
b59,,,,-0.002783;-0.045680;0.013629;-0.000099;-0.000036;-0.000660
b60,,,,-0.002975;-0.046255;0.013913;-0.000066;-0.000023;-0.000651
b61,,,,-0.003228;-0.047058;0.014286;-0.000016;0.000001;-0.000640
b62,,,,-0.003700;-0.048969;0.015016;0.000113;0.000074;-0.000612
b63,,,,-0.003722;-0.049084;0.015052;0.000120;0.000079;-0.000610
b64,,,,-0.004002;-0.050950;0.015527;0.000241;0.000158;-0.000584
b65,,,,-0.004187;-0.053057;0.015875;0.000358;0.000247;-0.000556
b66,,,,-0.004278;-0.055378;0.016133;0.000458;0.000340;-0.000529
b67,,,,-0.004294;-0.057846;0.016257;0.000531;0.000426;-0.000501
b68,,,,-0.004293;-0.060380;0.016173;0.000572;0.000502;-0.000473
b69,,,,-0.004358;-0.062891;0.015938;0.000581;0.000564;-0.000445
b70,,,,-0.004543;-0.065273;0.015398;0.000563;0.000621;-0.000418
b71,,,,-0.004809;-0.067447;0.014585;0.000526;0.000682;-0.000390
b72,,,,-0.005136;-0.069405;0.013656;0.000483;0.000755;-0.000362
b73,,,,-0.005516;-0.071185;0.012854;0.000445;0.000842;-0.000334
b74,,,,-0.005943;-0.072854;0.012246;0.000420;0.000945;-0.000306
b75,,,,-0.006417;-0.074484;0.011815;0.000413;0.001066;-0.000278
b76,,,,-0.006920;-0.076144;0.011568;0.000424;0.001208;-0.000250
b77,,,,-0.007423;-0.077913;0.011574;0.000452;0.001368;-0.000222
b78,,,,-0.007890;-0.079857;0.011774;0.000489;0.001547;-0.000194
b79,,,,-0.008279;-0.082012;0.012130;0.000524;0.001741;-0.000166
b80,,,,-0.008548;-0.084378;0.012485;0.000546;0.001944;-0.000138
b81,,,,-0.008656;-0.086896;0.012679;0.000545;0.002149;-0.000110
b82,,,,-0.008605;-0.089514;0.012629;0.000515;0.002351;-0.000082
b83,,,,-0.008393;-0.092143;0.012318;0.000451;0.002544;-0.000052
b84,,,,-0.008046;-0.094663;0.011879;0.000358;0.002717;-0.000022
b85,,,,-0.007582;-0.097000;0.011556;0.000239;0.002867;0.000008
b86,,,,-0.007011;-0.099109;0.011533;0.000100;0.002995;0.000040
b87,,,,-0.006339;-0.100963;0.011972;-0.000053;0.003099;0.000073
b88,,,,-0.005572;-0.102548;0.012885;-0.000214;0.003176;0.000108
b89,,,,-0.004728;-0.103851;0.014114;-0.000375;0.003224;0.000143
b90,,,,-0.003830;-0.104900;0.015571;-0.000532;0.003238;0.000180
b91,,,,-0.002929;-0.105733;0.017158;-0.000681;0.003215;0.000218
b92,,,,-0.002038;-0.106412;0.018737;-0.000826;0.003153;0.000257
b93,,,,-0.001217;-0.106975;0.020219;-0.000970;0.003055;0.000297
b94,,,,-0.000535;-0.107446;0.021530;-0.001112;0.002925;0.000338
b95,,,,-0.000024;-0.107807;0.022594;-0.001253;0.002772;0.000380
b96,,,,0.000274;-0.108057;0.023442;-0.001388;0.002607;0.000423
b97,,,,0.000355;-0.108173;0.024197;-0.001511;0.002439;0.000467
b98,,,,0.000296;-0.108100;0.024974;-0.001613;0.002276;0.000511
b99,,,,0.000171;-0.107826;0.025770;-0.001684;0.002121;0.000556
b100,,,,0.000025;-0.107360;0.026533;-0.001712;0.001977;0.000601
b101,,,,-0.000050;-0.106765;0.027332;-0.001689;0.001828;0.000646
b102,,,,-0.000081;-0.106128;0.028121;-0.001610;0.001663;0.000690
b103,,,,-0.000191;-0.105511;0.028806;-0.001479;0.001473;0.000734
b104,,,,-0.000559;-0.105010;0.029133;-0.001296;0.001276;0.000778
b105,,,,-0.001410;-0.104753;0.029013;-0.001073;0.001100;0.000821
b106,,,,-0.002925;-0.104866;0.028521;-0.000810;0.000971;0.000865
b107,,,,-0.003821;-0.105139;0.028122;-0.000645;0.000930;0.000890
b108,,,,-0.004128;-0.105272;0.027971;-0.000584;0.000921;0.000900
b109,,,,-0.004675;-0.105641;0.027694;-0.000459;0.000911;0.000918
b110,,,,-0.005137;-0.106229;0.027453;-0.000323;0.000912;0.000940
b111,,,,-0.005194;-0.106348;0.027419;-0.000301;0.000913;0.000944
b112,,,,-0.005334;-0.106761;0.027328;-0.000231;0.000917;0.000956
b113,,,,-0.005397;-0.107025;0.027295;-0.000192;0.000919;0.000963
b114,,,,-0.005494;-0.107455;0.027284;-0.000137;0.000922;0.000974
b115,,,,-0.005564;-0.107840;0.027323;-0.000094;0.000924;0.000983
b116,,,,-0.005578;-0.107977;0.027348;-0.000080;0.000925;0.000986
b117,,,,-0.005587;-0.108221;0.027411;-0.000056;0.000925;0.000991
b118,,,,-0.005563;-0.108569;0.027531;-0.000028;0.000922;0.000997
b119,,,,-0.005529;-0.108791;0.027621;-0.000013;0.000918;0.001000
b120,,,,-0.005482;-0.108994;0.027716;-0.000001;0.000913;0.001003
b121,,,,-0.005391;-0.109303;0.027885;0.000012;0.000901;0.001005
b122,,,,-0.005329;-0.109483;0.027997;0.000016;0.000892;0.001007
b123,,,,-0.005293;-0.109580;0.028061;0.000018;0.000886;0.001007
b124,,,,-0.005196;-0.109821;0.028241;0.000019;0.000869;0.001008
b125,,,,-0.005093;-0.110044;0.028438;0.000014;0.000848;0.001009
b126,,,,-0.005002;-0.110229;0.028630;0.000006;0.000826;0.001009
b127,,,,-0.004915;-0.110402;0.028838;-0.000006;0.000799;0.001009
b128,,,,-0.004838;-0.110541;0.029044;-0.000021;0.000771;0.001008
b129,,,,-0.004772;-0.110648;0.029249;-0.000037;0.000741;0.001007
b130,,,,-0.004714;-0.110729;0.029469;-0.000055;0.000708;0.001005
b131,,,,-0.004672;-0.110783;0.029681;-0.000073;0.000676;0.001003
b132,,,,-0.004646;-0.110822;0.029907;-0.000092;0.000640;0.001001
b133,,,,-0.004639;-0.110844;0.030128;-0.000111;0.000604;0.000998
b134,,,,-0.004649;-0.110847;0.030343;-0.000129;0.000568;0.000995
b135,,,,-0.004676;-0.110829;0.030572;-0.000148;0.000531;0.000992
b136,,,,-0.004722;-0.110795;0.030787;-0.000165;0.000496;0.000988
b137,,,,-0.004791;-0.110742;0.031016;-0.000182;0.000460;0.000984
b138,,,,-0.004902;-0.110652;0.031313;-0.000203;0.000415;0.000979
b139,,,,-0.004982;-0.110576;0.031533;-0.000217;0.000384;0.000974
b140,,,,-0.005060;-0.110490;0.031766;-0.000230;0.000353;0.000970
b141,,,,-0.005133;-0.110406;0.031993;-0.000241;0.000324;0.000966
b142,,,,-0.005201;-0.110326;0.032212;-0.000249;0.000296;0.000962
b143,,,,-0.005272;-0.110244;0.032440;-0.000256;0.000269;0.000958
b144,,,,-0.005342;-0.110168;0.032653;-0.000261;0.000244;0.000954
b145,,,,-0.005426;-0.110093;0.032873;-0.000265;0.000218;0.000950
b146,,,,-0.005544;-0.110009;0.033143;-0.000268;0.000189;0.000945
b147,,,,-0.005645;-0.109949;0.033345;-0.000270;0.000168;0.000941
b148,,,,-0.005709;-0.109916;0.033466;-0.000270;0.000156;0.000939
b149,,,,-0.005777;-0.109885;0.033588;-0.000270;0.000144;0.000937
b150,,,,-0.005881;-0.109846;0.033764;-0.000269;0.000129;0.000935
b151,,,,-0.006031;-0.109811;0.033987;-0.000267;0.000112;0.000931
b152,,,,-0.006154;-0.109795;0.034148;-0.000265;0.000102;0.000929
b153,,,,-0.006292;-0.109788;0.034305;-0.000263;0.000095;0.000927
b154,,,,-0.006508;-0.109788;0.034509;-0.000262;0.000091;0.000924
b155,,,,-0.006696;-0.109792;0.034658;-0.000261;0.000093;0.000923
b156,,,,-0.006988;-0.109794;0.034850;-0.000260;0.000103;0.000920
b157,,,,-0.007315;-0.109788;0.035034;-0.000259;0.000122;0.000918
b158,,,,-0.007635;-0.109776;0.035213;-0.000257;0.000150;0.000915
b159,,,,-0.007840;-0.109770;0.035345;-0.000255;0.000176;0.000914
b160,,,,-0.008009;-0.109768;0.035475;-0.000254;0.000208;0.000912
b161,,,,-0.008159;-0.109771;0.035646;-0.000252;0.000255;0.000910
b162,,,,-0.008201;-0.109776;0.035772;-0.000251;0.000292;0.000908
b163,,,,-0.008190;-0.109780;0.035897;-0.000250;0.000330;0.000907
b164,,,,-0.008140;-0.109784;0.036024;-0.000250;0.000369;0.000906
b165,,,,-0.008068;-0.109790;0.036140;-0.000249;0.000404;0.000905
b166,,,,-0.007942;-0.109802;0.036294;-0.000248;0.000449;0.000904
b167,,,,-0.007821;-0.109813;0.036404;-0.000248;0.000482;0.000903
b168,,,,-0.007687;-0.109823;0.036500;-0.000247;0.000509;0.000902
b169,,,,-0.007532;-0.109833;0.036588;-0.000246;0.000535;0.000902
b170,,,,-0.007363;-0.109840;0.036668;-0.000245;0.000557;0.000902
b171,,,,-0.007190;-0.109845;0.036739;-0.000244;0.000575;0.000901
b172,,,,-0.007022;-0.109850;0.036801;-0.000243;0.000590;0.000901
b173,,,,-0.006874;-0.109855;0.036850;-0.000243;0.000600;0.000901
b174,,,,-0.006743;-0.109859;0.036891;-0.000242;0.000606;0.000901
b175,,,,-0.006670;-0.109861;0.036913;-0.000242;0.000609;0.000901
b176,,,,-0.006494;-0.109864;0.036964;-0.000242;0.000614;0.000901
l0,16.262443;-10.697732;0.001443,,,
l1,21.629644;-7.594286;0.013931,,,
l2,22.387398;-7.594370;0.014635,,,
l3,24.621080;-7.629047;0.016629,,,
l4,25.313135;-7.546365;0.017472,,,
l5,28.431338;-7.407265;0.020708,,,
l6,0.753620;5.484997;0.050014,,,
l7,19.242833;13.218251;0.061978,,,
l8,25.444411;13.915328;0.069430,,,
l9,32.735098;13.965518;0.076332,,,
l10,24.491149;14.136677;0.069078,,,
l11,27.034924;14.039211;0.071208,,,
l12,30.936358;14.307469;0.075485,,,
l13,16.004482;-7.146727;0.380460,,,
l14,20.999993;-7.111039;0.486021,,,
l15,22.818141;-7.056616;0.525103,,,
l16,23.764343;-7.003165;0.545484,,,
l17,24.609263;-6.967360;0.563808,,,
l18,18.114480;12.977427;0.535804,,,
l19,16.725297;13.291180;0.515585,,,
l20,22.741651;13.821051;0.636059,,,
l21,15.503885;14.541374;0.515826,,,
l22,15.039217;15.022347;0.516853,,,
l23,15.189891;-8.265706;0.738779,,,
l24,29.725247;-7.320115;0.677487,,,
l26,33.909645;-6.228369;0.768134,,,
l27,24.692219;13.893608;0.675373,,,
l28,26.276614;13.912595;0.707281,,,
l29,28.220874;13.885466;0.746371,,,
l30,31.559146;13.970451;0.816260,,,
l31,33.435165;13.942103;0.855197,,,
l32,19.637404;-7.422000;0.904862,,,
l33,18.787145;-6.769635;0.860806,,,
l34,19.949333;-6.805890;0.910043,,,
l35,37.382883;13.595253;0.935343,,,
l36,34.726193;13.930716;0.882286,,,
l37,14.305045;14.869115;0.943854,,,
l38,14.057293;-9.303524;1.075604,,,
l39,14.592302;-7.824499;1.058058,,,
l40,20.074798;13.043926;1.085427,,,
l41,45.539292;13.740563;1.113022,,,
