key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,0.000001;-0.000020;0.000094;0.000013;-0.000027;-0.000147
b1,,,,0.000002;-0.000121;0.000583;0.000015;-0.000033;-0.000178
b2,,,,-0.000009;-0.000262;0.001258;0.000020;-0.000038;-0.000219
b3,,,,-0.000050;-0.000498;0.002370;0.000032;-0.000031;-0.000270
b4,,,,-0.000079;-0.000631;0.002956;0.000040;-0.000017;-0.000297
b5,,,,-0.000105;-0.000769;0.003527;0.000051;0.000003;-0.000330
b6,,,,-0.000117;-0.000842;0.003814;0.000056;0.000016;-0.000347
b7,,,,-0.000131;-0.000945;0.004205;0.000064;0.000036;-0.000371
b8,,,,-0.000142;-0.001052;0.004596;0.000072;0.000058;-0.000397
b9,,,,-0.000150;-0.001163;0.004985;0.000079;0.000082;-0.000422
b10,,,,-0.000156;-0.001269;0.005343;0.000085;0.000105;-0.000442
b11,,,,-0.000160;-0.001381;0.005710;0.000090;0.000129;-0.000459
b12,,,,-0.000161;-0.001488;0.006047;0.000094;0.000152;-0.000476
b13,,,,-0.000161;-0.001598;0.006383;0.000097;0.000175;-0.000494
b14,,,,-0.000159;-0.001711;0.006719;0.000099;0.000196;-0.000511
b15,,,,-0.000155;-0.001821;0.007035;0.000100;0.000216;-0.000525
b16,,,,-0.000151;-0.001927;0.007334;0.000099;0.000232;-0.000535
b17,,,,-0.000147;-0.002035;0.007633;0.000098;0.000248;-0.000546
b18,,,,-0.000142;-0.002143;0.007924;0.000097;0.000262;-0.000559
b19,,,,-0.000138;-0.002254;0.008214;0.000094;0.000274;-0.000572
b20,,,,-0.000135;-0.002361;0.008490;0.000091;0.000283;-0.000582
b21,,,,-0.000131;-0.002469;0.008758;0.000088;0.000292;-0.000592
b22,,,,-0.000128;-0.002573;0.009012;0.000084;0.000298;-0.000603
b23,,,,-0.000124;-0.002681;0.009266;0.000079;0.000303;-0.000613
b24,,,,-0.000121;-0.002791;0.009522;0.000074;0.000307;-0.000617
b25,,,,-0.000119;-0.002896;0.009758;0.000068;0.000310;-0.000622
b26,,,,-0.000118;-0.003003;0.009995;0.000062;0.000311;-0.000629
b27,,,,-0.000116;-0.003114;0.010233;0.000055;0.000310;-0.000637
b28,,,,-0.000115;-0.003219;0.010452;0.000047;0.000309;-0.000643
b29,,,,-0.000115;-0.003328;0.010671;0.000039;0.000306;-0.000649
b30,,,,-0.000115;-0.003439;0.010891;0.000029;0.000302;-0.000652
b31,,,,-0.000116;-0.003545;0.011093;0.000020;0.000298;-0.000655
b32,,,,-0.000120;-0.003657;0.011302;0.000009;0.000292;-0.000656
b33,,,,-0.000126;-0.003761;0.011494;-0.000003;0.000287;-0.000651
b34,,,,-0.000135;-0.003902;0.011750;-0.000019;0.000281;-0.000644
b35,,,,-0.000141;-0.004008;0.011942;-0.000031;0.000277;-0.000644
b36,,,,-0.000147;-0.004108;0.012119;-0.000042;0.000273;-0.000645
b37,,,,-0.000154;-0.004210;0.012296;-0.000052;0.000269;-0.000649
b38,,,,-0.000162;-0.004313;0.012473;-0.000062;0.000266;-0.000655
b39,,,,-0.000170;-0.004411;0.012636;-0.000071;0.000263;-0.000661
b40,,,,-0.000181;-0.004512;0.012803;-0.000078;0.000261;-0.000664
b41,,,,-0.000195;-0.004642;0.013012;-0.000085;0.000259;-0.000672
b42,,,,-0.000206;-0.004769;0.013207;-0.000089;0.000259;-0.000686
b43,,,,-0.000209;-0.004869;0.013356;-0.000090;0.000260;-0.000697
b44,,,,-0.000209;-0.004966;0.013498;-0.000089;0.000260;-0.000708
b45,,,,-0.000208;-0.005031;0.013590;-0.000087;0.000259;-0.000715
b46,,,,-0.000206;-0.005128;0.013723;-0.000083;0.000255;-0.000728
b47,,,,-0.000203;-0.005223;0.013847;-0.000077;0.000250;-0.000741
b48,,,,-0.000202;-0.005323;0.013972;-0.000069;0.000242;-0.000754
b49,,,,-0.000201;-0.005418;0.014084;-0.000059;0.000233;-0.000765
b50,,,,-0.000201;-0.005517;0.014196;-0.000047;0.000221;-0.000775
b51,,,,-0.000203;-0.005643;0.014328;-0.000029;0.000204;-0.000785
b52,,,,-0.000206;-0.005740;0.014421;-0.000013;0.000190;-0.000798
b53,,,,-0.000211;-0.005872;0.014538;0.000012;0.000169;-0.000816
b54,,,,-0.000215;-0.005968;0.014615;0.000032;0.000153;-0.000824
b55,,,,-0.000220;-0.006066;0.014689;0.000054;0.000137;-0.000821
b56,,,,-0.000226;-0.006165;0.014757;0.000078;0.000120;-0.000804
b57,,,,-0.000235;-0.006261;0.014821;0.000104;0.000104;-0.000786
b58,,,,-0.000246;-0.006359;0.014880;0.000132;0.000087;-0.000767
b59,,,,-0.000260;-0.006450;0.014928;0.000161;0.000073;-0.000749
b60,,,,-0.000279;-0.006544;0.014970;0.000194;0.000060;-0.000732
b61,,,,-0.000294;-0.006609;0.014994;0.000218;0.000053;-0.000722
b62,,,,-0.000480;-0.007165;0.015041;0.000457;0.000080;-0.000632
b63,,,,-0.000562;-0.007440;0.014972;0.000567;0.000159;-0.000591
b64,,,,-0.000626;-0.007733;0.014846;0.000658;0.000272;-0.000550
b65,,,,-0.000668;-0.008035;0.014655;0.000715;0.000403;-0.000509
b66,,,,-0.000694;-0.008336;0.014388;0.000735;0.000535;-0.000468
b67,,,,-0.000715;-0.008628;0.014051;0.000722;0.000659;-0.000427
b68,,,,-0.000738;-0.008901;0.013635;0.000684;0.000774;-0.000386
b69,,,,-0.000763;-0.009153;0.013153;0.000632;0.000889;-0.000346
b70,,,,-0.000791;-0.009384;0.012633;0.000579;0.001005;-0.000305
b71,,,,-0.000827;-0.009598;0.012113;0.000537;0.001126;-0.000264
b72,,,,-0.000872;-0.009802;0.011617;0.000512;0.001256;-0.000224
b73,,,,-0.000927;-0.010005;0.011160;0.000509;0.001401;-0.000183
b74,,,,-0.000992;-0.010212;0.010757;0.000529;0.001566;-0.000143
b75,,,,-0.001063;-0.010432;0.010427;0.000567;0.001753;-0.000102
b76,,,,-0.001134;-0.010670;0.010173;0.000615;0.001965;-0.000062
b77,,,,-0.001199;-0.010931;0.010000;0.000661;0.002200;-0.000022
b78,,,,-0.001253;-0.011214;0.009900;0.000691;0.002453;0.000018
b79,,,,-0.001290;-0.011511;0.009867;0.000694;0.002715;0.000058
b80,,,,-0.001307;-0.011817;0.009905;0.000663;0.002978;0.000098
b81,,,,-0.001304;-0.012121;0.010025;0.000597;0.003235;0.000139
b82,,,,-0.001284;-0.012410;0.010255;0.000500;0.003470;0.000180
b83,,,,-0.001248;-0.012678;0.010630;0.000378;0.003677;0.000222
b84,,,,-0.001197;-0.012921;0.011178;0.000238;0.003854;0.000264
b85,,,,-0.001134;-0.013136;0.011918;0.000085;0.003994;0.000308
b86,,,,-0.001061;-0.013323;0.012848;-0.000073;0.004094;0.000352
b87,,,,-0.000980;-0.013478;0.013940;-0.000233;0.004150;0.000397
b88,,,,-0.000896;-0.013604;0.015165;-0.000389;0.004159;0.000443
b89,,,,-0.000813;-0.013703;0.016487;-0.000536;0.004117;0.000489
b90,,,,-0.000731;-0.013782;0.017860;-0.000681;0.004024;0.000537
b91,,,,-0.000657;-0.013846;0.019243;-0.000825;0.003883;0.000585
b92,,,,-0.000598;-0.013897;0.020597;-0.000965;0.003700;0.000634
b93,,,,-0.000558;-0.013936;0.021886;-0.001104;0.003486;0.000683
b94,,,,-0.000543;-0.013965;0.023086;-0.001237;0.003254;0.000734
b95,,,,-0.000553;-0.013982;0.024188;-0.001358;0.003017;0.000784
b96,,,,-0.000583;-0.013982;0.025188;-0.001459;0.002786;0.000836
b97,,,,-0.000623;-0.013966;0.026073;-0.001529;0.002568;0.000888
b98,,,,-0.000667;-0.013933;0.026832;-0.001558;0.002367;0.000940
b99,,,,-0.000704;-0.013891;0.027469;-0.001536;0.002166;0.000991
b100,,,,-0.000734;-0.013848;0.027980;-0.001460;0.001955;0.001042
b101,,,,-0.000765;-0.013813;0.028366;-0.001338;0.001720;0.001093
b102,,,,-0.000807;-0.013790;0.028618;-0.001171;0.001474;0.001143
b103,,,,-0.000876;-0.013785;0.028750;-0.000970;0.001232;0.001193
b104,,,,-0.000903;-0.013788;0.028771;-0.000910;0.001170;0.001202
b105,,,,-0.000986;-0.013804;0.028800;-0.000762;0.001033;0.001180
b106,,,,-0.001005;-0.013808;0.028804;-0.000732;0.001009;0.001170
b107,,,,-0.001139;-0.013840;0.028818;-0.000521;0.000866;0.001081
b108,,,,-0.001200;-0.013858;0.028821;-0.000431;0.000818;0.001020
b109,,,,-0.001318;-0.013910;0.028827;-0.000266;0.000750;0.000889
b110,,,,-0.001372;-0.013945;0.028833;-0.000194;0.000728;0.000841
b111,,,,-0.001419;-0.013980;0.028844;-0.000132;0.000712;0.000802
b112,,,,-0.001435;-0.013993;0.028849;-0.000113;0.000708;0.000787
b113,,,,-0.001493;-0.014042;0.028880;-0.000044;0.000696;0.000762
b114,,,,-0.001518;-0.014066;0.028904;-0.000015;0.000693;0.000766
b115,,,,-0.001529;-0.014078;0.028917;-0.000002;0.000692;0.000767
b116,,,,-0.001565;-0.014120;0.028983;0.000041;0.000689;0.000770
b117,,,,-0.001585;-0.014147;0.029044;0.000064;0.000687;0.000768
b118,,,,-0.001590;-0.014156;0.029068;0.000071;0.000687;0.000767
b119,,,,-0.001605;-0.014181;0.029148;0.000087;0.000683;0.000763
b120,,,,-0.001617;-0.014204;0.029237;0.000097;0.000677;0.000757
b121,,,,-0.001621;-0.014211;0.029270;0.000100;0.000675;0.000755
b122,,,,-0.001629;-0.014231;0.029372;0.000103;0.000666;0.000747
b123,,,,-0.001636;-0.014250;0.029490;0.000102;0.000653;0.000733
b124,,,,-0.001642;-0.014267;0.029614;0.000096;0.000636;0.000718
b125,,,,-0.001647;-0.014281;0.029738;0.000088;0.000615;0.000706
b126,,,,-0.001653;-0.014292;0.029874;0.000075;0.000587;0.000693
b127,,,,-0.001658;-0.014300;0.030004;0.000062;0.000556;0.000681
b128,,,,-0.001664;-0.014305;0.030144;0.000045;0.000518;0.000666
b129,,,,-0.001671;-0.014309;0.030280;0.000028;0.000476;0.000651
b130,,,,-0.001679;-0.014312;0.030412;0.000011;0.000431;0.000636
b131,,,,-0.001689;-0.014313;0.030550;-0.000008;0.000379;0.000622
b132,,,,-0.001693;-0.014313;0.030595;-0.000014;0.000361;0.000617
b133,,,,-0.001706;-0.014313;0.030729;-0.000032;0.000307;0.000606
b134,,,,-0.001721;-0.014311;0.030859;-0.000050;0.000253;0.000594
b135,,,,-0.001740;-0.014309;0.030996;-0.000068;0.000195;0.000579
b136,,,,-0.001761;-0.014307;0.031125;-0.000085;0.000140;0.000570
b137,,,,-0.001792;-0.014302;0.031301;-0.000107;0.000065;0.000557
b138,,,,-0.001816;-0.014298;0.031435;-0.000122;0.000009;0.000544
b139,,,,-0.001840;-0.014294;0.031562;-0.000136;-0.000043;0.000531
b140,,,,-0.001865;-0.014290;0.031695;-0.000150;-0.000096;0.000516
b141,,,,-0.001891;-0.014287;0.031824;-0.000163;-0.000146;0.000504
b142,,,,-0.001918;-0.014283;0.031949;-0.000174;-0.000192;0.000492
b143,,,,-0.001947;-0.014281;0.032081;-0.000186;-0.000239;0.000481
b144,,,,-0.001976;-0.014279;0.032207;-0.000196;-0.000281;0.000470
b145,,,,-0.002006;-0.014277;0.032327;-0.000206;-0.000320;0.000468
b146,,,,-0.002048;-0.014276;0.032488;-0.000219;-0.000368;0.000484
b147,,,,-0.002081;-0.014274;0.032609;-0.000228;-0.000401;0.000499
b148,,,,-0.002113;-0.014273;0.032721;-0.000237;-0.000428;0.000515
b149,,,,-0.002147;-0.014271;0.032834;-0.000245;-0.000452;0.000530
b150,,,,-0.002183;-0.014269;0.032942;-0.000253;-0.000472;0.000540
b151,,,,-0.002232;-0.014266;0.033079;-0.000263;-0.000491;0.000552
b152,,,,-0.002278;-0.014263;0.033209;-0.000272;-0.000502;0.000565
b153,,,,-0.002311;-0.014260;0.033306;-0.000278;-0.000505;0.000574
b154,,,,-0.002341;-0.014258;0.033393;-0.000283;-0.000505;0.000586
b155,,,,-0.002370;-0.014255;0.033480;-0.000288;-0.000500;0.000599
b156,,,,-0.002398;-0.014252;0.033563;-0.000292;-0.000492;0.000610
b157,,,,-0.002425;-0.014248;0.033642;-0.000295;-0.000481;0.000617
b158,,,,-0.002460;-0.014242;0.033740;-0.000297;-0.000461;0.000618
b159,,,,-0.002484;-0.014238;0.033807;-0.000298;-0.000444;0.000615
b160,,,,-0.002506;-0.014234;0.033867;-0.000298;-0.000424;0.000612
b161,,,,-0.002528;-0.014231;0.033925;-0.000297;-0.000402;0.000609
b162,,,,-0.002545;-0.014229;0.033975;-0.000296;-0.000379;0.000606
b163,,,,-0.002562;-0.014228;0.034023;-0.000294;-0.000354;0.000600
b164,,,,-0.002576;-0.014228;0.034066;-0.000292;-0.000328;0.000593
b165,,,,-0.002586;-0.014229;0.034105;-0.000290;-0.000301;0.000589
b166,,,,-0.002594;-0.014230;0.034140;-0.000288;-0.000274;0.000588
b167,,,,-0.002595;-0.014232;0.034170;-0.000287;-0.000249;0.000588
b168,,,,-0.002595;-0.014232;0.034180;-0.000286;-0.000241;0.000588
b169,,,,-0.002593;-0.014232;0.034189;-0.000286;-0.000233;0.000588
b170,,,,-0.002587;-0.014233;0.034211;-0.000285;-0.000212;0.000593
b171,,,,-0.002577;-0.014233;0.034229;-0.000284;-0.000193;0.000599
b172,,,,-0.002565;-0.014234;0.034241;-0.000284;-0.000179;0.000601
b173,,,,-0.002553;-0.014234;0.034250;-0.000283;-0.000168;0.000602
b174,,,,-0.002541;-0.014235;0.034255;-0.000283;-0.000160;0.000604
b175,,,,-0.002531;-0.014236;0.034259;-0.000283;-0.000155;0.000606
b176,,,,-0.002528;-0.014236;0.034260;-0.000283;-0.000154;0.000606
b177,,,,-0.002514;-0.014236;0.034264;-0.000282;-0.000150;0.000606
l0,15.631063;-10.694962;-0.029689,,,
l1,20.998238;-7.591447;-0.025345,,,
l2,21.755993;-7.591523;-0.025220,,,
