key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,0.000034;-0.000476;0.000673;-0.000030;0.000354;-0.000662
b1,,,,0.000090;-0.001239;0.001763;-0.000030;0.000356;-0.000666
b2,,,,0.000172;-0.002280;0.003274;-0.000030;0.000359;-0.000671
b3,,,,0.000299;-0.003750;0.005349;-0.000026;0.000363;-0.000679
b4,,,,0.000343;-0.004244;0.006001;-0.000024;0.000364;-0.000682
b5,,,,0.000430;-0.005260;0.007230;-0.000017;0.000366;-0.000686
b6,,,,0.000474;-0.005745;0.007760;-0.000013;0.000366;-0.000689
b7,,,,0.000520;-0.006281;0.008304;-0.000009;0.000366;-0.000691
b8,,,,0.000578;-0.007043;0.009007;-0.000003;0.000365;-0.000693
b9,,,,0.000627;-0.007866;0.009681;0.000004;0.000363;-0.000696
b10,,,,0.000659;-0.008658;0.010254;0.000010;0.000361;-0.000698
b11,,,,0.000676;-0.009484;0.010781;0.000015;0.000359;-0.000699
b12,,,,0.000682;-0.010340;0.011259;0.000020;0.000357;-0.000701
b13,,,,0.000678;-0.011178;0.011666;0.000025;0.000356;-0.000702
b14,,,,0.000672;-0.011998;0.012009;0.000028;0.000356;-0.000703
b15,,,,0.000669;-0.012846;0.012312;0.000031;0.000357;-0.000704
b16,,,,0.000671;-0.013693;0.012567;0.000032;0.000358;-0.000704
b17,,,,0.000679;-0.014562;0.012783;0.000033;0.000360;-0.000705
b18,,,,0.000693;-0.015404;0.012950;0.000033;0.000363;-0.000705
b19,,,,0.000712;-0.016218;0.013074;0.000031;0.000365;-0.000705
b20,,,,0.000736;-0.017056;0.013164;0.000029;0.000368;-0.000705
b21,,,,0.000766;-0.017894;0.013220;0.000026;0.000371;-0.000705
b22,,,,0.000805;-0.018753;0.013246;0.000023;0.000374;-0.000705
b23,,,,0.000859;-0.019586;0.013244;0.000018;0.000377;-0.000705
b24,,,,0.000930;-0.020415;0.013217;0.000013;0.000379;-0.000704
b25,,,,0.001012;-0.021218;0.013169;0.000007;0.000381;-0.000703
b26,,,,0.001112;-0.022040;0.013100;0.000001;0.000381;-0.000702
b27,,,,0.001191;-0.022611;0.013042;-0.000004;0.000380;-0.000702
b28,,,,0.001304;-0.023411;0.012947;-0.000011;0.000378;-0.000700
b29,,,,0.001421;-0.024236;0.012837;-0.000018;0.000375;-0.000699
b30,,,,0.001534;-0.025065;0.012718;-0.000027;0.000369;-0.000696
b31,,,,0.001642;-0.025899;0.012593;-0.000036;0.000363;-0.000694
b32,,,,0.001746;-0.026761;0.012459;-0.000046;0.000354;-0.000691
b33,,,,0.001838;-0.027577;0.012331;-0.000056;0.000345;-0.000687
b34,,,,0.001925;-0.028417;0.012199;-0.000068;0.000335;-0.000683
b35,,,,0.002010;-0.029276;0.012066;-0.000080;0.000324;-0.000679
b36,,,,0.002113;-0.030358;0.011903;-0.000098;0.000308;-0.000673
b37,,,,0.002189;-0.031177;0.011785;-0.000111;0.000295;-0.000668
b38,,,,0.002265;-0.032013;0.011671;-0.000126;0.000281;-0.000662
b39,,,,0.002339;-0.032800;0.011574;-0.000140;0.000267;-0.000656
b40,,,,0.002416;-0.033625;0.011486;-0.000155;0.000251;-0.000650
b41,,,,0.002518;-0.034687;0.011399;-0.000174;0.000230;-0.000641
b42,,,,0.002596;-0.035453;0.011357;-0.000189;0.000213;-0.000633
b43,,,,0.002711;-0.036513;0.011331;-0.000209;0.000189;-0.000622
b44,,,,0.002765;-0.037003;0.011334;-0.000218;0.000177;-0.000616
b45,,,,0.002851;-0.037782;0.011360;-0.000232;0.000157;-0.000607
b46,,,,0.002901;-0.038260;0.011391;-0.000240;0.000144;-0.000601
b47,,,,0.002963;-0.039016;0.011466;-0.000253;0.000122;-0.000591
b48,,,,0.002998;-0.039735;0.011571;-0.000263;0.000100;-0.000580
b49,,,,0.003005;-0.040418;0.011704;-0.000272;0.000080;-0.000569
b50,,,,0.002984;-0.041121;0.011877;-0.000279;0.000059;-0.000558
b51,,,,0.002941;-0.041768;0.012068;-0.000283;0.000041;-0.000546
b52,,,,0.002871;-0.042436;0.012298;-0.000285;0.000024;-0.000534
b53,,,,0.002788;-0.043053;0.012540;-0.000283;0.000010;-0.000522
b54,,,,0.002655;-0.043880;0.012903;-0.000275;-0.000005;-0.000505
b55,,,,0.002538;-0.044490;0.013196;-0.000265;-0.000012;-0.000492
b56,,,,0.002406;-0.045093;0.013504;-0.000251;-0.000016;-0.000479
b57,,,,0.002258;-0.045710;0.013836;-0.000233;-0.000016;-0.000465
b58,,,,0.002111;-0.046288;0.014161;-0.000211;-0.000012;-0.000452
b59,,,,0.001953;-0.046874;0.014503;-0.000185;-0.000004;-0.000438
b60,,,,0.001791;-0.047457;0.014850;-0.000154;0.000008;-0.000424
b61,,,,0.001630;-0.048042;0.015199;-0.000118;0.000025;-0.000410
b62,,,,0.001466;-0.048654;0.015558;-0.000078;0.000046;-0.000396
b63,,,,0.001316;-0.049265;0.015902;-0.000034;0.000071;-0.000382
b64,,,,0.000985;-0.051222;0.016864;0.000115;0.000165;-0.000338
b65,,,,0.000973;-0.051341;0.016915;0.000124;0.000171;-0.000335
b66,,,,0.000971;-0.051361;0.016924;0.000125;0.000172;-0.000335
b67,,,,0.000889;-0.053313;0.017630;0.000266;0.000270;-0.000295
b68,,,,0.000953;-0.055574;0.018196;0.000401;0.000375;-0.000255
b69,,,,0.001127;-0.058152;0.018606;0.000515;0.000477;-0.000217
b70,,,,0.001380;-0.060980;0.018756;0.000592;0.000565;-0.000179
b71,,,,0.001630;-0.063940;0.018529;0.000625;0.000633;-0.000143
b72,,,,0.001756;-0.066871;0.017963;0.000614;0.000680;-0.000108
b73,,,,0.001689;-0.069571;0.016915;0.000564;0.000717;-0.000074
b74,,,,0.001521;-0.071913;0.015463;0.000492;0.000761;-0.000042
b75,,,,0.001297;-0.073900;0.013832;0.000418;0.000817;-0.000011
b76,,,,0.001025;-0.075613;0.012345;0.000359;0.000888;0.000019
b77,,,,0.000697;-0.077166;0.011135;0.000328;0.000976;0.000048
b78,,,,0.000276;-0.078673;0.010225;0.000330;0.001085;0.000075
b79,,,,-0.000236;-0.080227;0.009632;0.000367;0.001216;0.000101
b80,,,,-0.000809;-0.081949;0.009397;0.000434;0.001373;0.000126
b81,,,,-0.001391;-0.083945;0.009408;0.000520;0.001557;0.000148
b82,,,,-0.001916;-0.086286;0.009552;0.000609;0.001766;0.000170
b83,,,,-0.002315;-0.088983;0.009601;0.000680;0.001996;0.000190
b84,,,,-0.002503;-0.091943;0.009346;0.000717;0.002237;0.000209
b85,,,,-0.002458;-0.095079;0.008695;0.000709;0.002484;0.000227
b86,,,,-0.002154;-0.098251;0.007674;0.000652;0.002724;0.000244
b87,,,,-0.001603;-0.101263;0.006504;0.000549;0.002943;0.000261
b88,,,,-0.000821;-0.104001;0.005551;0.000406;0.003132;0.000278
b89,,,,0.000170;-0.106411;0.005122;0.000233;0.003289;0.000295
b90,,,,0.001328;-0.108459;0.005477;0.000037;0.003410;0.000313
b91,,,,0.002604;-0.110117;0.006681;-0.000171;0.003492;0.000332
b92,,,,0.003941;-0.111334;0.008579;-0.000383;0.003533;0.000351
b93,,,,0.005276;-0.112127;0.011031;-0.000585;0.003530;0.000371
b94,,,,0.006540;-0.112554;0.013851;-0.000769;0.003483;0.000391
b95,,,,0.007746;-0.112727;0.016791;-0.000936;0.003387;0.000411
b96,,,,0.008828;-0.112763;0.019656;-0.001087;0.003246;0.000432
b97,,,,0.009701;-0.112753;0.022283;-0.001223;0.003064;0.000453
b98,,,,0.010302;-0.112724;0.024535;-0.001351;0.002854;0.000473
b99,,,,0.010558;-0.112704;0.026415;-0.001472;0.002631;0.000494
b100,,,,0.010458;-0.112657;0.028044;-0.001586;0.002413;0.000514
b101,,,,0.010103;-0.112460;0.029546;-0.001686;0.002216;0.000533
b102,,,,0.009639;-0.112050;0.030926;-0.001760;0.002047;0.000552
b103,,,,0.009174;-0.111382;0.032127;-0.001796;0.001910;0.000569
b104,,,,0.008891;-0.110522;0.033200;-0.001775;0.001785;0.000585
b105,,,,0.008823;-0.109606;0.034063;-0.001689;0.001653;0.000599
b106,,,,0.008842;-0.108806;0.034582;-0.001543;0.001493;0.000612
b107,,,,0.008763;-0.108232;0.034470;-0.001342;0.001316;0.000623
b108,,,,0.008312;-0.108028;0.033628;-0.001101;0.001142;0.000632
b109,,,,0.007233;-0.108331;0.032074;-0.000824;0.000993;0.000639
b110,,,,0.006843;-0.108554;0.031397;-0.000726;0.000953;0.000640
b111,,,,0.006310;-0.108906;0.030420;-0.000596;0.000907;0.000640
b112,,,,0.005855;-0.109186;0.029676;-0.000500;0.000881;0.000639
b113,,,,0.005089;-0.109885;0.028422;-0.000332;0.000853;0.000635
b114,,,,0.004997;-0.110003;0.028257;-0.000309;0.000850;0.000634
b115,,,,0.004655;-0.110551;0.027611;-0.000215;0.000845;0.000629
b116,,,,0.004590;-0.110677;0.027489;-0.000196;0.000844;0.000628
b117,,,,0.004390;-0.111108;0.027146;-0.000139;0.000844;0.000623
b118,,,,0.004202;-0.111646;0.026848;-0.000078;0.000848;0.000615
b119,,,,0.004178;-0.111775;0.026799;-0.000065;0.000849;0.000613
b120,,,,0.004159;-0.112141;0.026704;-0.000032;0.000852;0.000606
b121,,,,0.004210;-0.112502;0.026666;-0.000005;0.000853;0.000597
b122,,,,0.004235;-0.112605;0.026663;0.000001;0.000852;0.000594
b123,,,,0.004268;-0.112714;0.026664;0.000007;0.000851;0.000590
b124,,,,0.004387;-0.113031;0.026685;0.000022;0.000846;0.000580
b125,,,,0.004522;-0.113312;0.026728;0.000029;0.000837;0.000568
b126,,,,0.004619;-0.113483;0.026764;0.000031;0.000828;0.000560
b127,,,,0.004664;-0.113557;0.026782;0.000032;0.000824;0.000556
b128,,,,0.004771;-0.113715;0.026828;0.000030;0.000813;0.000548
b129,,,,0.004922;-0.113911;0.026902;0.000024;0.000795;0.000537
b130,,,,0.005082;-0.114080;0.026990;0.000014;0.000773;0.000525
b131,,,,0.005235;-0.114204;0.027084;0.000001;0.000749;0.000514
b132,,,,0.005400;-0.114301;0.027192;-0.000015;0.000720;0.000503
b133,,,,0.005567;-0.114364;0.027307;-0.000032;0.000688;0.000492
b134,,,,0.005729;-0.114398;0.027426;-0.000050;0.000655;0.000482
b135,,,,0.005892;-0.114410;0.027561;-0.000069;0.000616;0.000471
b136,,,,0.006040;-0.114402;0.027697;-0.000087;0.000576;0.000461
b137,,,,0.006191;-0.114376;0.027849;-0.000106;0.000530;0.000452
b138,,,,0.006335;-0.114332;0.028006;-0.000123;0.000484;0.000442
b139,,,,0.006475;-0.114277;0.028164;-0.000139;0.000436;0.000434
b140,,,,0.006615;-0.114213;0.028338;-0.000155;0.000382;0.000426
b141,,,,0.006782;-0.114126;0.028574;-0.000173;0.000309;0.000416
b142,,,,0.006894;-0.114063;0.028754;-0.000185;0.000253;0.000409
b143,,,,0.007000;-0.114003;0.028951;-0.000196;0.000191;0.000403
b144,,,,0.007085;-0.113955;0.029144;-0.000205;0.000131;0.000398
b145,,,,0.007113;-0.113938;0.029218;-0.000208;0.000108;0.000396
b146,,,,0.007137;-0.113925;0.029286;-0.000211;0.000087;0.000394
b147,,,,0.007194;-0.113890;0.029490;-0.000219;0.000025;0.000390
b148,,,,0.007227;-0.113864;0.029711;-0.000226;-0.000042;0.000385
b149,,,,0.007221;-0.113844;0.030005;-0.000236;-0.000130;0.000380
b150,,,,0.007179;-0.113837;0.030230;-0.000242;-0.000194;0.000377
b151,,,,0.007078;-0.113832;0.030528;-0.000251;-0.000277;0.000372
b152,,,,0.006976;-0.113824;0.030758;-0.000258;-0.000338;0.000369
b153,,,,0.006853;-0.113809;0.030996;-0.000265;-0.000398;0.000366
b154,,,,0.006720;-0.113789;0.031223;-0.000271;-0.000453;0.000364
b155,,,,0.006516;-0.113755;0.031535;-0.000278;-0.000522;0.000360
b156,,,,0.006350;-0.113727;0.031771;-0.000282;-0.000571;0.000357
b157,,,,0.006138;-0.113693;0.032064;-0.000286;-0.000629;0.000354
b158,,,,0.005990;-0.113668;0.032281;-0.000290;-0.000668;0.000352
b159,,,,0.005857;-0.113646;0.032498;-0.000292;-0.000706;0.000350
b160,,,,0.005745;-0.113627;0.032697;-0.000295;-0.000740;0.000348
b161,,,,0.005639;-0.113607;0.032895;-0.000297;-0.000772;0.000347
b162,,,,0.005534;-0.113587;0.033088;-0.000299;-0.000802;0.000345
b163,,,,0.005422;-0.113567;0.033274;-0.000300;-0.000830;0.000343
b164,,,,0.005257;-0.113542;0.033512;-0.000301;-0.000863;0.000341
b165,,,,0.005078;-0.113518;0.033742;-0.000301;-0.000892;0.000340
b166,,,,0.004955;-0.113503;0.033898;-0.000300;-0.000910;0.000339
b167,,,,0.004792;-0.113485;0.034102;-0.000300;-0.000930;0.000337
b168,,,,0.004687;-0.113473;0.034251;-0.000300;-0.000943;0.000336
b169,,,,0.004604;-0.113467;0.034385;-0.000299;-0.000953;0.000336
b170,,,,0.004527;-0.113466;0.034515;-0.000299;-0.000962;0.000335
b171,,,,0.004460;-0.113470;0.034638;-0.000298;-0.000969;0.000335
b172,,,,0.004401;-0.113477;0.034753;-0.000298;-0.000975;0.000334
b173,,,,0.004343;-0.113484;0.034863;-0.000298;-0.000980;0.000334
b174,,,,0.004293;-0.113489;0.034958;-0.000298;-0.000984;0.000334
b175,,,,0.004249;-0.113491;0.035047;-0.000298;-0.000987;0.000334
b176,,,,0.004205;-0.113494;0.035127;-0.000297;-0.000989;0.000334
b177,,,,0.004164;-0.113498;0.035197;-0.000297;-0.000990;0.000334
b178,,,,0.004129;-0.113502;0.035258;-0.000297;-0.000991;0.000334
b179,,,,0.004106;-0.113506;0.035306;-0.000297;-0.000992;0.000334
b180,,,,0.004097;-0.113510;0.035393;-0.000296;-0.000991;0.000334
b181,,,,0.004099;-0.113511;0.035404;-0.000296;-0.000991;0.000334
l0,16.347951;-10.665568;-0.087778,,,
l1,21.714964;-7.561854;-0.110026,,,
l2,22.472711;-7.561901;-0.113826,,,
l3,24.706366;-7.596469;-0.125079,,,
l4,25.398411;-7.513752;-0.128426,,,
l5,28.516570;-7.374499;-0.143853,,,
l6,0.838824;5.516454;0.038236,,,
l7,19.327359;13.250620;-0.066763,,,
l8,25.528834;13.948004;-0.096814,,,
l9,32.819432;13.998554;-0.133299,,,
l10,24.575575;14.169307;-0.091701,,,
l11,27.119323;14.071967;-0.104603,,,
l12,31.020700;14.340417;-0.123765,,,
l13,16.092058;-7.114232;0.289528,,,
l14,21.088105;-7.078206;0.365358,,,
l15,22.906452;-7.023660;0.393581,,,
l16,23.852753;-6.970145;0.408288,,,
l17,24.697766;-6.934282;0.421557,,,
l18,18.201853;13.010173;0.413982,,,
l19,16.812558;13.323840;0.401736,,,
l20,22.829496;13.854113;0.485958,,,
l21,15.591100;14.573976;0.408097,,,
l22,15.126421;15.054926;0.411448,,,
l23,15.279671;-8.232923;0.653702,,,
l24,29.814353;-7.286687;0.505142,,,
l25,31.113358;-6.984331;0.525086,,,
l26,33.999163;-6.194657;0.569918,,,
l27,24.780258;13.926801;0.513610,,,
l28,26.364816;13.945894;0.536081,,,
l29,28.309273;13.918895;0.563637,,,
l30,31.647899;14.004104;0.613603,,,
l31,33.524117;13.975883;0.641412,,,
l32,19.728046;-7.388851;0.792575,,,
l33,18.877508;-6.736567;0.752980,,,
l34,20.039970;-6.772722;0.795339,,,
l35,37.472265;13.629297;0.698404,,,
l36,34.815282;13.964582;0.660836,,,
l37,14.394808;14.902048;0.842945,,,
l38,14.149150;-9.270486;0.998200,,,
l39,14.683967;-7.791453;0.976125,,,
l40,20.165403;13.077269;0.951880,,,
l41,45.629574;13.775163;0.827460,,,
l42,23.434876;13.921953;1.076905,,,
l43,28.832019;-6.872614;1.120560,,,
l44,29.693696;-6.741852;1.151681,,,
l45,31.155027;-6.547548;1.205015,,,
l46,20.853739;-6.619279;1.287507,,,
l47,32.053179;-6.284903;1.236936,,,
l48,31.286850;-5.863893;1.205033,,,
l49,28.764986;13.851720;1.252729,,,
l50,26.384023;13.907134;1.173456,,,
l51,14.543098;-8.439670;1.345712,,,
l52,17.037636;-6.923721;1.468919,,,
l53,23.984668;-6.726994;1.469687,,,
l54,21.170900;13.134971;1.516798,,,
l55,16.955263;13.899802;1.346408,,,
l56,24.632434;-6.698352;1.506771,,,
l57,34.981232;13.640104;1.465771,,,
l58,24.224046;13.732862;1.693627,,,
l59,15.670004;-7.224375;1.743904,,,
l60,28.598285;-6.567927;1.736530,,,
l61,28.192736;13.000256;1.880740,,,
l62,26.468943;13.170429;1.793104,,,
l63,17.228028;13.351084;1.800707,,,
l64,18.699393;13.645084;1.911083,,,
l65,26.056771;13.682425;1.787569,,,
l66,17.590911;13.996250;1.860126,,,
l67,14.555001;15.759543;1.794199,,,
l68,14.800878;16.682349;1.869482,,,
l69,14.805393;-7.729148;2.045190,,,
l70,19.238968;-6.344896;2.052192,,,
l71,31.887380;-5.844805;1.922110,,,
l72,45.211642;13.576456;1.835391,,,
l73,20.605230;13.446964;2.026908,,,
l74,21.677899;13.538971;2.104467,,,
l75,15.078751;-8.629113;2.132791,,,
l76,25.850259;-7.193330;2.159751,,,
l77,26.756542;-7.061665;2.228616,,,
l78,34.486645;-5.314944;2.071747,,,
l79,26.802758;-5.301456;2.199247,,,
l80,33.530674;13.115542;2.178156,,,
l81,34.915632;13.006767;2.253063,,,
l82,23.580410;13.527661;2.236103,,,
l83,24.555177;13.480508;2.302961,,,
l84,17.188769;14.092959;2.317905,,,
l85,15.205595;15.167015;2.252022,,,
l86,14.987173;16.154857;2.317892,,,
l87,28.310847;-6.744819;2.345932,,,
l88,17.922259;-6.655140;2.343528,,,
l89,26.673558;12.999129;2.435597,,,
l90,25.793154;13.089824;2.375130,,,
l91,19.792893;-6.565537;2.561270,,,
l92,24.035930;-6.319884;2.529404,,,
l93,24.407127;-5.261197;2.540675,,,
l94,28.348711;12.976895;2.558248,,,
l95,29.524012;12.942190;2.644513,,,
l96,21.843500;13.229226;2.649699,,,
l97,16.417105;13.933565;2.710438,,,
l98,14.568265;15.332437;2.677911,,,
l99,15.183911;-7.675120;2.816498,,,
l100,17.894946;-7.373608;2.791734,,,
l101,21.098274;-6.794720;2.726676,,,
l102,21.661860;-6.562984;2.785286,,,
l103,21.446266;-5.894853;2.734899,,,
l104,23.992413;-5.271161;3.027199,,,
l105,33.001716;13.111854;2.913029,,,
l106,45.393502;13.356415;2.859270,,,
l107,15.468713;-8.066250;3.271552,,,
l108,35.169135;12.990055;3.074722,,,
l109,16.530274;-7.315353;3.388218,,,
l110,18.924798;-7.220906;3.363423,,,
l111,19.496256;-6.757949;3.426372,,,
l112,27.199942;-5.383394;3.426546,,,
l113,22.866199;-5.406569;3.400322,,,
l114,29.032963;13.005958;3.296350,,,
l115,30.432635;13.048009;3.431140,,,
l116,15.434194;13.620222;3.485947,,,
l117,21.285323;-5.942255;3.673894,,,
l118,25.615798;13.036700;3.600544,,,
l119,16.418973;13.429859;3.588385,,,
l120,15.758400;-9.530684;3.871721,,,
l121,17.469413;-6.130532;3.873881,,,
l122,18.910885;-6.203035;3.734712,,,
l123,27.596922;12.712095;3.804708,,,
l124,26.817783;12.974936;3.731738,,,
l125,33.205067;13.403019;3.712369,,,
l126,14.553360;-9.949992;4.100632,,,
l127,17.705160;-7.039023;3.993407,,,
l128,16.506117;-6.154502;4.071115,,,
l129,23.197162;-6.091380;3.995407,,,
l130,29.235967;12.238802;3.967030,,,
l131,28.616771;12.438053;3.906215,,,
l132,45.923429;12.826537;3.910417,,,
l133,19.573361;13.051451;3.972900,,,
l134,23.664532;13.056259;3.973249,,,
l135,15.592823;14.391001;4.066629,,,
l136,15.201119;-9.992187;4.232565,,,
l137,17.121930;-6.930738;4.277927,,,
l138,21.329445;-5.520312;4.143711,,,
l139,25.192224;12.683375;4.144434,,,
l140,21.030920;13.032962;4.177764,,,
l141,18.424678;13.116425;4.317660,,,
l142,24.802582;13.215782;4.132687,,,
l143,25.164747;-5.971901;4.316003,,,
l144,20.674915;-5.403713;4.486583,,,
l145,27.398381;11.717139;4.374508,,,
l146,19.836874;12.609583;4.482604,,,
l147,39.691631;13.090693;4.333234,,,
l148,23.011876;12.973756;4.460515,,,
l149,14.915661;-10.576660;4.671777,,,
l150,15.707996;-9.263851;4.647001,,,
l151,14.176529;-9.061430;4.663370,,,
l152,14.954295;-7.730267;4.653357,,,
l153,15.300500;-6.277555;4.558848,,,
l154,42.501254;-5.455590;4.405464,,,
l155,28.780242;11.672674;4.560406,,,
l156,21.617267;11.815469;4.692741,,,
l157,17.056841;13.122758;4.586403,,,
l158,15.325841;-8.552817;4.862370,,,
l159,15.865248;-6.749391;4.761077,,,
l160,16.102332;-5.995871;4.739755,,,
l161,22.288754;-5.137359;4.810480,,,
l162,32.706770;-5.034607;4.825020,,,
l163,23.016020;11.281997;4.880408,,,
l164,25.910490;11.401798;4.771816,,,
l165,26.660776;11.392561;4.888206,,,
l166,30.364518;11.559138;4.771960,,,
l167,19.823008;11.664283;4.887787,,,
l168,44.416590;11.937846;4.766359,,,
l169,17.307655;11.864665;4.928000,,,
l170,16.496897;12.457712;4.861175,,,
l171,16.229845;13.001557;4.896371,,,
l172,14.813788;-9.839791;4.940236,,,
l173,21.077834;-5.178875;5.041532,,,
l174,28.918176;-4.838480;4.905620,,,
l175,45.988172;10.950241;4.896780,,,
l176,18.261070;11.466368;5.060480,,,
l177,15.092344;-9.133026;5.298716,,,
l178,15.665712;-7.374563;5.183314,,,
l179,15.351687;-6.106004;5.313613,,,
l180,29.632815;-5.798222;5.055489,,,
l181,26.524602;-5.396303;5.116331,,,
l182,40.037795;-4.741600;5.017966,,,
