key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l127,32.880898;13.061562;3.864556,,,
l128,14.257316;-8.199877;4.015941,,,
l129,15.413906;-7.176471;4.149996,,,
l130,16.965403;-7.199243;4.075558,,,
l131,22.541309;-6.305189;4.117198,,,
l132,26.311710;-5.353814;4.123153,,,
l133,28.156206;12.153227;4.025037,,,
l134,45.418694;12.396030;4.111135,,,
l135,35.761246;12.724739;4.146957,,,
l136,23.142399;12.835498;4.058348,,,
l137,14.005136;-10.081909;4.216310,,,
l138,15.184668;-6.284359;4.390865,,,
l139,21.020700;-5.685177;4.320080,,,
l140,47.876591;11.500271;4.300089,,,
l141,20.515087;12.841823;4.250560,,,
l142,17.914557;12.953992;4.378087,,,
l143,24.287966;12.987998;4.224467,,,
l144,24.481895;-6.197010;4.442615,,,
l145,41.609100;-5.408053;4.587868,,,
l146,26.859621;11.462173;4.480339,,,
l147,31.579494;11.738495;4.423272,,,
l148,19.658230;12.306011;4.593987,,,
l149,22.557577;12.758870;4.552708,,,
l150,39.404743;12.671750;4.523201,,,
l151,14.040574;-10.748099;4.731730,,,
l152,15.786972;-6.980558;4.613191,,,
l153,14.607980;-6.403373;4.635834,,,
l154,28.236179;11.403221;4.672622,,,
l155,21.132555;11.607375;4.776786,,,
l156,40.345100;12.233101;4.607246,,,
l157,16.548859;12.976469;4.640610,,,
l158,15.224207;-9.724487;4.832152,,,
l159,13.814267;-9.623652;4.899247,,,
l160,15.041997;-6.899202;4.810821,,,
l161,27.737953;-5.487281;4.974673,,,
l162,21.619411;-5.334993;4.923568,,,
l163,32.038227;-5.334421;4.989039,,,
l164,25.540434;11.153510;4.897573,,,
l165,29.816093;11.274158;4.891984,,,
l166,19.336754;11.478174;4.963826,,,
l167,43.957153;11.473568;4.965636,,,
l168,16.777298;11.711205;4.982847,,,
l169,25.528101;-5.712972;5.191353,,,
l170,20.404968;-5.363854;5.148514,,,
l171,28.264872;-5.103256;5.053163,,,
l172,45.428852;10.513578;5.097147,,,
l173,22.743752;11.008425;5.007188,,,
l174,37.357090;12.245204;5.163617,,,
l175,14.261605;-9.243579;5.348955,,,
l176,14.962430;-7.504884;5.265058,,,
l177,26.011635;-4.915386;5.253002,,,
l178,26.679489;-4.812816;5.379811,,,
l179,46.768223;10.001469;5.228223,,,
l180,21.691008;10.462743;5.317922,,,
l181,15.927009;11.823555;5.288967,,,
l182,38.544010;12.041296;5.304324,,,
l183,14.917768;12.808127;5.242294,,,
l184,13.396134;-9.553393;5.576332,,,
l185,17.986900;-5.504475;5.466740,,,
l186,27.442083;-4.715926;5.525738,,,
l187,19.387068;10.755712;5.401650,,,
