key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l3160,49.450592;-7.793290;-0.997885,,,
l3161,46.656353;-7.707072;-0.990650,,,
l3162,45.171539;-7.323042;-0.978664,,,
l3163,45.949913;12.796228;-0.495820,,,
l3164,61.976433;13.858617;-0.499841,,,
l3165,45.909943;-7.680912;-0.655301,,,
l3166,49.087547;-7.433082;-0.596504,,,
l3167,45.333874;-6.501697;-0.649507,,,
l3169,48.732288;12.970700;-0.051387,,,
l3170,50.507496;13.640224;0.000991,,,
l3171,63.158909;13.779648;0.221587,,,
l3175,47.055321;-6.406060;0.411637,,,
l3177,53.670994;-7.028005;0.458442,,,
l3178,59.105900;-5.659754;0.800209,,,
l3179,60.140400;13.322861;1.478572,,,
l3181,58.366314;-5.583222;1.329272,,,
l3182,45.735249;12.986339;1.906965,,,
l3184,54.403538;-5.688533;1.491890,,,
l3186,54.603767;-5.332618;2.008065,,,
l3188,42.016487;-6.683698;2.108055,,,
l3189,57.747929;-5.689571;2.406773,,,
l3192,77.285362;12.703897;3.487557,,,
l3194,67.356194;13.097149;3.512906,,,
l3195,65.303101;-5.585614;3.366983,,,
l3196,57.084663;-5.487640;3.432885,,,
l3197,80.090790;11.798796;3.677671,,,
l3199,59.883217;11.766026;3.989470,,,
l3203,74.603615;11.174494;4.146492,,,
l3204,76.445160;10.622181;4.310569,,,
l3206,60.894840;11.446150;4.784282,,,
l3208,73.923103;9.875561;4.945045,,,
l3210,62.916943;11.578102;5.124521,,,
l3212,64.916580;11.319374;5.430386,,,
l3213,78.738510;-4.193718;5.105393,,,
l3214,59.213455;8.819820;5.547806,,,
l3215,78.524452;9.088979;5.487920,,,
l3216,77.748100;9.853042;5.428101,,,
l3217,53.015682;10.847805;5.577961,,,
l3218,65.863617;11.030503;5.563422,,,
l3220,60.247189;8.567344;5.741167,,,
l3222,51.586697;10.149022;5.639028,,,
l3224,74.110504;9.896530;5.915249,,,
l3225,67.924652;9.992142;5.828521,,,
l3226,50.603508;10.099266;5.868852,,,
l3227,73.412430;10.573978;5.853717,,,
l3228,63.536057;-2.890884;5.932564,,,
l3229,66.983788;-2.931019;5.906390,,,
l3230,72.292564;-2.510111;6.060418,,,
l3231,60.728561;-2.230923;5.964430,,,
l3232,76.931412;7.230408;6.191286,,,
l3233,72.648270;7.441470;6.468136,,,
l3234,79.885422;-2.479371;6.327357,,,
l3235,79.746521;1.329040;6.390372,,,
l3236,79.822784;2.250219;6.429448,,,
l3237,79.848083;5.687842;6.560231,,,
l3239,64.927094;8.733536;6.744562,,,
l3240,58.861332;-1.585883;6.735405,,,
l3241,81.393227;6.970805;6.849988,,,
l3242,76.398880;1.651139;6.867943,,,
l3243,72.278313;-1.205858;6.969297,,,
l3244,63.081848;-0.758688;7.254328,,,
l3245,69.685059;0.821418;7.344656,,,
l3247,68.703972;6.270965;7.378483,,,
l3248,70.332275;0.204208;7.470197,,,
l3249,74.297318;6.172327;7.631814,,,
l3251,77.092110;1.464548;7.983250,,,
l3427,48.248734;-8.040326;-1.164523,,,
l3428,50.846931;-7.978315;-1.156735,,,
l3430,71.955353;13.252260;-0.549908,,,
l3432,64.649918;-5.664812;-0.430522,,,
l3434,56.054527;-7.475613;-0.202921,,,
l3435,74.401299;-6.353929;-0.213615,,,
l3436,72.305939;14.274967;0.320875,,,
l3438,83.396912;13.305072;0.545292,,,
l3440,49.435032;-6.839496;0.840758,,,
l3442,42.588375;-5.841548;0.832245,,,
l3443,65.141373;-5.467560;0.872547,,,
l3444,63.608009;12.766537;1.386874,,,
l3445,64.555634;12.817828;1.448564,,,
l3446,80.898445;12.995168;1.490596,,,
l3448,50.320732;13.388242;1.505515,,,
l3451,53.433685;-7.442496;1.341175,,,
l3454,71.741203;-5.999823;2.096300,,,
l3455,72.358803;-5.902896;2.152095,,,
l3456,62.909443;12.686958;2.633034,,,
l3458,69.879173;13.041962;3.378733,,,
l3461,58.292217;-5.540901;3.971799,,,
l3463,84.077148;9.440125;4.712579,,,
l3464,57.740459;-6.053080;4.383529,,,
l3469,80.809891;9.309649;5.354659,,,
l3470,82.946388;-3.096532;5.209343,,,
l3472,75.693253;8.831783;5.556686,,,
l3473,66.152412;9.968519;5.606197,,,
l3476,80.889793;-2.783040;5.935511,,,
l3478,67.061569;-1.865788;5.885180,,,
l3480,83.766068;4.722776;6.600873,,,
l3481,82.944031;7.092806;6.579663,,,
l3482,69.974739;-3.928082;6.524141,,,
l3484,84.972992;0.061939;6.633682,,,
l3485,78.394554;0.488101;6.561002,,,
l3486,78.672043;1.850980;6.652119,,,
l3487,78.527908;2.496093;6.648719,,,
l3488,78.305779;3.959030;6.666234,,,
l3489,84.223640;4.225234;6.652215,,,
l3490,78.261841;4.843037;6.697303,,,
l3491,78.203835;6.084994;6.747106,,,
l3494,65.171783;-1.117179;6.811487,,,
l3497,81.169540;-0.944687;7.021777,,,
l3498,75.377464;5.619763;7.115691,,,
l3499,81.663551;3.354649;7.240617,,,
l3500,67.456947;-0.536083;7.439545,,,
l3501,60.476654;3.282717;7.451002,,,
l3502,78.142639;3.567191;7.570952,,,
l3503,62.134628;4.162120;7.445048,,,
l3504,70.482018;5.065306;7.693595,,,
l3505,71.289902;4.579714;7.863004,,,
l3506,76.166481;4.233848;8.119077,,,
l3692,53.199032;-7.972942;-1.255727,,,
l3693,64.202461;-6.761059;-1.226691,,,
l3694,70.308533;14.560899;-0.484335,,,
l3695,66.204529;-5.568123;-0.600984,,,
l3698,50.174713;-6.225453;-0.135471,,,
l3699,62.479511;-5.622317;-0.169386,,,
l3700,67.380386;-5.370971;0.039501,,,
l3701,70.736755;13.674631;0.950659,,,
l3703,64.596931;-5.538710;0.472845,,,
l3705,60.321697;-5.578691;0.669751,,,
l3706,61.295082;-5.537561;0.751101,,,
l3707,66.325508;13.155956;1.396653,,,
l3708,70.031662;13.441185;1.630506,,,
l3711,77.947830;-5.492988;1.317767,,,
l3712,63.474430;-5.380762;1.466806,,,
l3713,52.802399;-5.960140;1.640941,,,
l3714,84.800438;-5.256240;1.760817,,,
l3715,63.575798;-5.983288;2.011235,,,
l3718,58.875309;-5.741797;2.304748,,,
l3720,63.354717;12.709538;2.954965,,,
l3721,41.333481;13.215152;3.033686,,,
l3722,66.827530;-5.733100;2.424558,,,
l3723,60.052502;-5.144139;2.494595,,,
l3724,64.299980;-5.545723;2.659730,,,
l3725,75.195526;12.910950;3.556681,,,
l3726,68.880417;13.054046;3.634975,,,
l3727,78.800705;11.685879;3.842483,,,
l3728,70.919563;12.935447;3.869126,,,
l3729,82.757965;-5.192685;3.527424,,,
l3731,64.126053;12.391941;4.227035,,,
l3734,87.691277;11.875451;4.784594,,,
l3736,70.609131;-4.852592;4.303044,,,
l3738,63.174244;-5.284310;4.650096,,,
l3739,85.134155;-2.986286;4.839822,,,
l3742,66.011703;-4.823342;5.318748,,,
l3745,72.084984;9.067965;5.956290,,,
l3746,70.435890;-4.177061;5.672497,,,
l3748,61.971848;8.633117;6.202734,,,
l3750,66.577934;9.259410;6.225267,,,
l3751,86.501198;1.687057;6.209606,,,
l3752,66.934639;-4.482063;6.171432,,,
l3753,65.305450;-1.493551;6.350946,,,
l3754,86.807968;0.781522;6.220914,,,
l3755,86.814461;4.452151;6.382576,,,
l3756,77.844360;-2.977891;6.445360,,,
l3757,82.657585;-1.323593;6.471983,,,
l3759,62.422718;8.072759;6.818308,,,
l3760,84.082260;0.100729;6.768093,,,
l3761,83.567978;4.003721;6.847962,,,
l3762,83.155937;6.534065;6.919392,,,
l3763,79.597710;-1.242066;6.833761,,,
l3764,84.095215;3.553416;6.917310,,,
l3765,83.839233;6.258801;7.021114,,,
l3766,62.419468;7.319056;7.285296,,,
l3768,77.751236;0.588960;7.390850,,,
l3770,66.679169;-0.565956;7.407091,,,
l3773,73.486176;5.112544;8.264435,,,
l3774,72.085617;2.794009;8.494824,,,
l3884,75.207802;13.006497;-0.689702,,,
l3885,80.875725;13.865125;-0.698366,,,
l3886,68.431313;14.360499;-0.607177,,,
l3887,46.870197;13.218565;-0.220330,,,
l3889,65.762589;13.817582;-0.044120,,,
l3890,91.174362;13.354723;0.296231,,,
l3891,73.280724;-6.335154;0.056516,,,
l3892,68.992851;13.720724;0.617578,,,
l3893,83.111839;-7.013549;0.402270,,,
l3894,82.428360;12.924270;1.039591,,,
l3897,88.850410;13.090590;1.275807,,,
l3898,79.697624;-5.675268;1.103256,,,
l3903,75.420677;-5.708763;1.558983,,,
l3906,68.228752;-5.941998;2.098409,,,
l3907,70.546883;13.442667;2.620924,,,
l3908,75.689987;-6.243551;2.289780,,,
l3909,82.566795;12.792030;2.825998,,,
l3915,76.186455;-5.616878;3.073969,,,
l3916,62.934731;-5.907351;3.267198,,,
l3920,59.005775;11.063125;4.803111,,,
l3922,86.689713;8.931179;4.881176,,,
l3924,82.534035;8.409312;5.222762,,,
l3925,81.906647;8.723927;5.152127,,,
l3927,65.031601;9.822582;5.527634,,,
l3928,69.807571;11.091796;5.541021,,,
l3929,72.539841;-4.692776;5.251281,,,
l3930,80.542152;-3.639018;5.286562,,,
l3931,74.055756;-4.179000;5.571565,,,
l3936,79.105751;-3.507407;5.845604,,,
l3939,85.467995;1.075891;6.234993,,,
l3940,80.938629;1.696092;6.325895,,,
l3941,84.772919;7.658959;6.435688,,,
l3943,85.947266;6.900842;6.586893,,,
l3944,91.659065;7.413573;6.491876,,,
l3946,70.525917;8.353789;6.690158,,,
l3947,67.893784;-3.947056;6.541659,,,
l3950,87.230003;-0.589404;6.483313,,,
l3951,87.342949;3.544924;6.650693,,,
l3952,82.474869;4.520039;6.750699,,,
l3956,69.741188;8.256431;7.123267,,,
l3957,70.626701;8.037044;7.339645,,,
l3964,72.449226;7.742284;7.808089,,,
l4050,76.421890;13.384742;1.431961,,,
l4339,84.891106;-7.269846;-1.598418,,,
l4340,70.675827;3.987274;-1.113101,,,
l4342,71.409332;-7.130868;-0.963997,,,
l4343,73.666138;-5.901976;-0.916591,,,
l4344,75.018951;-5.631062;-0.897573,,,
l4345,70.824860;3.320065;-0.696986,,,
l4346,67.241211;-6.473785;-0.603114,,,
l4347,84.260826;13.872169;-0.207136,,,
l4348,79.257591;14.006173;-0.243708,,,
l4351,86.137413;-6.770977;-0.035302,,,
l4352,89.639915;13.575419;0.721173,,,
l4353,83.627625;-5.246719;0.640032,,,
l4354,79.235092;13.562499;1.101964,,,
l4358,66.103584;-5.365230;1.506496,,,
l4359,98.746315;-5.255569;1.444818,,,
l4360,65.047798;-5.986609;2.062619,,,
l4361,78.707375;12.988244;2.383405,,,
l4362,73.205200;-5.322237;2.106804,,,
l4363,84.798317;12.261249;2.880238,,,
l4364,85.771942;12.170702;2.963707,,,
l4365,86.906418;12.112003;3.064507,,,
l4368,77.385239;-5.321100;3.284707,,,
l4369,95.785637;-5.341823;3.264446,,,
l4372,82.763687;11.593692;4.145219,,,
l4373,96.597847;12.116914;3.970245,,,
l4374,95.829712;12.319173;3.909343,,,
l4375,74.680298;-5.113746;3.943252,,,
l4378,86.685989;10.141840;4.565735,,,
l4379,74.770996;-4.871675;4.512002,,,
l4381,89.279366;-3.482978;4.363898,,,
l4382,88.271889;9.468992;4.737579,,,
l4386,86.312675;-2.910789;4.743381,,,
l4387,80.777084;10.470794;5.204096,,,
l4388,77.195198;-5.023666;5.065880,,,
l4389,93.886986;-2.740651;5.027815,,,
l4390,98.863586;9.860292;5.144131,,,
l4392,78.101830;7.822193;5.778244,,,
l4393,95.424179;9.015937;5.700138,,,
l4394,70.655457;10.028309;5.966459,,,
l4395,74.926353;-3.626688;5.650893,,,
l4397,84.518227;-1.381790;5.988489,,,
l4398,88.744881;0.421920;6.062885,,,
l4400,84.830940;5.997793;6.368214,,,
l4401,93.272812;7.834636;6.292241,,,
l4404,94.476631;6.928751;6.434906,,,
l4405,93.913368;7.333282;6.366438,,,
l4407,75.210129;-0.276121;6.892004,,,
l4408,91.861725;3.964060;6.781906,,,
l4409,76.453400;4.158751;6.914324,,,
l4410,91.251198;4.362056;6.687505,,,
l4411,96.982834;4.837196;6.736850,,,
l4412,96.299706;5.535818;6.658677,,,
l4572,82.182922;14.122544;-0.790711,,,
l4574,83.493652;14.276356;-0.787552,,,
l4575,76.315987;-5.512893;-1.027896,,,
l4577,68.155197;-5.907670;-0.537491,,,
l4578,90.119171;14.132069;0.028099,,,
l4579,101.281212;13.957576;0.228647,,,
l4584,86.744530;-5.689401;0.600539,,,
l4585,76.750938;-6.036935;0.988942,,,
l4586,57.194061;12.701572;1.756703,,,
l4588,99.811127;-5.133495;1.437327,,,
l4589,84.820999;12.971727;2.040614,,,
l4592,77.122131;-5.774261;2.066355,,,
l4594,87.536736;13.007235;3.040230,,,
l4595,101.896469;12.307979;3.383675,,,
l4599,97.713615;-5.199350;3.217010,,,
l4601,94.628983;13.095177;3.765681,,,
l4602,73.631447;11.598058;4.080284,,,
l4604,99.858665;11.818377;4.218719,,,
l4605,81.049973;11.642805;4.223720,,,
l4606,102.120209;10.500381;4.372027,,,
l4607,78.878967;-5.085311;4.012949,,,
l4608,81.469559;11.177673;4.901759,,,
l4609,84.975044;11.497935;4.844063,,,
l4610,90.159416;11.602857;4.867313,,,
l4611,84.326660;-3.941836;4.507401,,,
l4614,97.403625;11.731580;4.942865,,,
l4618,84.527374;8.571950;5.203261,,,
l4619,101.977867;8.776732;5.323881,,,
l4620,101.637772;10.769640;5.408966,,,
l4621,100.856049;11.208545;5.339996,,,
l4624,84.084633;7.979739;5.764152,,,
l4625,99.790924;-3.241745;5.507287,,,
l4626,99.827324;-2.482795;5.534044,,,
l4627,100.013969;8.516880;6.088775,,,
l4628,101.867172;7.088164;6.276173,,,
l4629,88.742233;-1.129940;6.213879,,,
l4630,102.909027;-0.507267;6.066721,,,
l4631,87.939117;1.421271;6.136396,,,
l4632,96.415657;8.677588;6.522886,,,
l4634,83.271400;1.451897;6.444882,,,
l4636,88.891983;4.935990;6.550495,,,
l4638,95.105461;0.682300;6.753088,,,
l4640,100.724350;7.147465;7.157048,,,
l4641,101.315826;7.636663;7.291100,,,
l4642,103.296059;3.396332;7.387290,,,
l5222,75.601662;-7.842547;-1.717812,,,
l5223,77.405121;-7.579974;-1.720908,,,
l5224,74.750862;-7.574902;-1.701502,,,
l5225,99.999924;13.813704;-1.073037,,,
l5227,73.398643;-7.654305;-1.393238,,,
l5228,70.840149;13.694428;-0.516010,,,
l5229,92.047958;-5.777528;-1.091203,,,
l5232,101.581657;-5.541318;-0.947002,,,
l5233,100.004784;13.779874;-0.195128,,,
l5234,78.919334;-6.714025;-0.505051,,,
l5235,81.406143;-6.874480;-0.373494,,,
l5236,67.471352;13.599472;0.737268,,,
l5238,109.329269;-5.243072;0.214036,,,
l5240,108.535385;13.769496;0.977563,,,
l5241,84.119064;-6.141671;0.795643,,,
l5242,68.934113;-5.758064;0.836454,,,
l5243,89.743645;-5.139986;0.747006,,,
l5244,90.483322;-5.038297;0.807435,,,
l5245,86.934738;13.362977;1.466680,,,
l5246,68.944298;-6.520270;1.170264,,,
l5247,90.819427;13.125922;1.726120,,,
l5248,86.036484;13.122071;1.985456,,,
l5250,97.341614;13.850002;2.257955,,,
l5251,87.613510;-5.508810;1.725682,,,
l5254,78.075035;-6.160540;2.527789,,,
l5255,107.599792;12.728795;2.963841,,,
l5256,107.079597;13.060159;2.944240,,,
l5258,96.259308;13.509735;2.962910,,,
l5259,90.066597;-5.353077;2.658758,,,
l5262,103.328491;11.645173;3.511703,,,
l5264,104.634476;11.242135;3.613561,,,
l5265,90.341995;-5.350015;3.341552,,,
l5266,87.412857;-5.083302;3.439949,,,
l5268,89.080177;11.969341;4.136521,,,
l5270,92.178955;12.945313;3.987544,,,
l5272,110.220345;10.135133;4.099413,,,
l5274,87.531609;-4.430771;4.049347,,,
l5276,106.867165;-3.966897;4.121417,,,
l5277,83.644333;10.638792;4.799200,,,
l5278,93.778282;11.949986;4.869181,,,
l5279,92.724899;-4.703915;4.440874,,,
l5280,108.179558;-3.572922;4.294580,,,
l5281,87.152916;-3.521704;4.552365,,,
l5282,107.661972;9.636120;4.844257,,,
l5286,82.827911;10.547045;5.154011,,,
l5287,95.835030;11.021565;5.107551,,,
l5289,84.130974;-2.822070;4.881974,,,
l5291,96.808266;10.799997;5.243984,,,
l5292,79.439232;10.626768;5.361113,,,
l5293,105.602776;-3.272640;4.953515,,,
l5294,105.018402;7.997889;5.389479,,,
l5296,96.559196;-3.905668;5.177092,,,
l5297,93.182358;-1.472203;5.293118,,,
l5298,102.452507;-1.469660;5.448859,,,
l5299,108.688965;2.331815;5.608369,,,
l5302,92.058258;-1.100616;5.751141,,,
l5303,85.671043;7.884748;6.047020,,,
l5304,110.183319;5.502418;5.987267,,,
l5305,110.118889;7.402640;6.089034,,,
l5307,109.719940;8.023978;6.070123,,,
l5308,86.368263;-1.380772;6.106799,,,
l5309,105.248718;1.058056;6.014891,,,
l5311,89.435738;8.167062;6.431671,,,
l5313,107.308929;0.087529;6.323930,,,
l5314,102.075996;5.965425;6.653094,,,
l5316,93.016815;-0.222781;6.724188,,,
l5317,99.160439;2.123394;6.716583,,,
l5318,92.385330;6.196618;6.973791,,,
l5321,102.406158;4.776485;7.563082,,,
l5322,99.371552;3.720544;7.711179,,,
l5557,99.952255;-5.539108;-2.083560,,,
l5558,101.155273;13.720798;-1.342459,,,
l5559,94.256828;14.888707;-1.175045,,,
l5560,76.715225;14.510262;-0.881852,,,
l5561,95.919281;15.116580;-1.195233,,,
l5562,96.607849;15.139052;-1.206440,,,
l5564,69.632645;-7.240214;-0.889492,,,
l5565,92.861847;-5.141733;-1.342667,,,
l5566,91.010185;14.264132;-0.513913,,,
l5567,87.145065;-5.398553;-0.892737,,,
l5569,93.376984;-4.947898;-0.723034,,,
l5570,93.439911;13.917558;0.145957,,,
l5571,96.934044;14.170286;0.237256,,,
l5572,77.444138;-6.724452;0.034715,,,
l5574,93.172501;13.563169;0.784804,,,
l5577,97.655548;14.034684;1.004502,,,
l5580,93.057495;13.349280;2.094267,,,
l5582,108.623428;13.854466;2.458884,,,
l5583,91.087433;13.215585;3.185364,,,
l5584,97.307976;13.465906;3.208829,,,
l5585,78.857162;13.082862;3.517407,,,
l5586,88.966705;-5.257915;2.821177,,,
l5587,100.035446;12.528935;3.412303,,,
l5590,90.519173;12.632494;3.672549,,,
l5591,81.266670;-5.842620;3.403060,,,
l5592,84.901482;-5.876856;3.484983,,,
l5594,113.553314;11.792689;3.736681,,,
l5595,85.653259;-5.757114;3.658894,,,
l5596,90.878799;12.306024;4.312221,,,
l5599,90.413231;-4.431265;4.208334,,,
l5600,111.651665;-2.311860;3.864660,,,
l5601,110.753342;9.231194;4.335183,,,
l5602,91.083214;10.891203;4.794989,,,
l5604,105.892311;9.264274;4.709677,,,
l5605,104.965950;10.323306;4.668890,,,
l5607,100.859055;10.167225;4.933644,,,
l5608,91.166183;-3.012999;4.968025,,,
l5609,109.877785;-1.883405;4.653447,,,
l5614,89.363068;-2.044940;5.082265,,,
l5615,92.238823;-2.409090;5.240951,,,
l5616,111.741608;-0.822277;4.944086,,,
l5617,94.901550;-1.109131;5.263508,,,
l5618,111.973938;8.500175;5.464568,,,
l5619,106.915169;-2.464592;5.149108,,,
l5620,107.670067;1.966700;5.440014,,,
l5621,113.004608;2.167078;5.241196,,,
l5622,112.897995;6.319243;5.449117,,,
l5623,109.078354;-0.799826;5.546165,,,
l5624,114.991089;0.334483;5.431298,,,
l5625,107.573929;6.357591;5.676486,,,
l5626,103.114662;7.156504;5.889545,,,
l5627,86.745987;7.920949;6.231756,,,
l5628,92.186646;9.196011;6.083530,,,
l5631,91.128273;-0.654898;6.191567,,,
l5635,92.579842;2.562638;6.788831,,,
l5636,95.239388;2.907498;6.900952,,,
l5637,92.936867;3.582464;6.972208,,,
l5638,102.928688;2.130619;7.220588,,,
l6015,92.739754;-6.550734;-2.293509,,,
l6016,98.625450;-5.939473;-2.382811,,,
l6017,106.662842;14.224960;-1.367981,,,
l6019,95.991081;-6.220003;-1.753358,,,
l6020,70.479317;-5.980836;-1.208492,,,
l6021,98.018433;-5.793924;-1.730613,,,
l6024,110.466995;-6.506050;-1.767506,,,
l6025,89.854019;-6.218681;-1.290186,,,
l6026,89.304466;-5.521393;-1.269811,,,
l6027,110.861382;14.051118;-0.524705,,,
l6028,76.332306;14.027875;0.247525,,,
l6029,84.279884;-5.878764;-0.693775,,,
l6030,102.265388;13.427012;0.202389,,,
l6032,88.095657;13.908249;0.491539,,,
l6033,107.945580;13.272232;0.303432,,,
l6034,71.674973;-5.648951;0.077794,,,
l6036,82.260765;-6.511364;0.120156,,,
l6037,105.666008;-5.443923;-0.123891,,,
l6039,82.222778;-5.620940;0.410014,,,
l6040,97.593956;-5.635513;0.141091,,,
l6041,100.917397;-5.482328;0.361265,,,
l6043,100.976158;13.220272;1.635962,,,
l6044,106.399101;13.213571;1.964306,,,
l6046,95.306931;-5.817032;1.140310,,,
l6047,96.138031;-5.294771;1.244100,,,
l6049,93.360748;-5.527765;1.477682,,,
l6050,106.844414;-5.839740;1.553253,,,
l6051,107.857460;-5.473731;1.656191,,,
l6052,102.015564;-5.406012;1.872844,,,
l6056,99.185860;11.647399;3.469450,,,
l6057,86.558220;-5.786123;3.041636,,,
l6060,93.168289;-5.701828;3.067366,,,
l6061,97.952980;11.316931;3.955575,,,
l6063,99.182823;10.723060;4.060984,,,
l6064,106.779099;-4.554070;3.247328,,,
l6065,112.683105;9.227802;3.962567,,,
l6068,97.566162;10.554595;4.472718,,,
l6069,109.714081;-3.002555;3.698929,,,
l6070,107.623856;10.704281;4.424827,,,
l6071,98.752472;11.254313;4.759156,,,
l6073,98.015869;-4.073816;4.035398,,,
l6076,88.655716;11.197339;5.152347,,,
l6077,86.730240;11.195694;5.192546,,,
l6080,94.405540;10.632840;5.181919,,,
l6081,97.270004;-4.532255;4.511789,,,
l6083,106.620583;8.114128;4.888196,,,
l6084,99.019707;8.618656;5.170640,,,
l6086,97.964386;-3.424159;4.688399,,,
l6088,94.181610;-4.574669;4.983097,,,
l6089,98.488167;-3.863791;4.792383,,,
l6090,111.334167;1.874241;5.109565,,,
l6091,104.011826;-3.047242;5.254170,,,
l6092,98.179985;-2.021658;5.436100,,,
l6093,100.690910;-1.226774;5.374509,,,
l6094,112.883034;0.189045;5.244396,,,
l6095,112.689987;4.124092;5.477487,,,
l6096,111.810852;5.819303;5.475492,,,
l6097,99.490959;7.302067;5.806841,,,
l6098,117.875488;7.591499;5.468859,,,
l6099,90.510086;8.864658;6.224594,,,
l6101,113.443710;-0.421526;5.296077,,,
l6102,104.669472;0.080293;5.535139,,,
l6104,108.917450;4.471499;5.805647,,,
l6105,104.261040;5.027109;5.819572,,,
l6106,108.045074;5.190306;5.711477,,,
l6107,101.055695;6.390615;6.045731,,,
l6109,98.216850;7.053969;6.176512,,,
l6110,107.655991;7.616652;5.864404,,,
l6111,105.172302;-2.086043;5.524551,,,
l6112,109.968491;0.053274;5.685492,,,
l6113,102.449066;1.561287;5.929017,,,
l6114,109.416100;4.022313;5.857950,,,
l6116,110.131134;3.521385;5.945805,,,
l6117,95.252113;7.537814;6.778287,,,
l6118,94.968575;-0.743462;6.478690,,,
l6119,105.073929;3.058187;6.623964,,,
l6120,96.697586;7.573220;7.191004,,,
l6121,101.063156;3.911613;7.264158,,,
l6122,98.317169;6.451697;7.499136,,,
l6123,101.614357;1.273188;7.195955,,,
l6124,99.125549;5.024974;7.560727,,,
l6280,107.034203;14.713725;-1.371993,,,
l6281,113.714478;15.112993;-1.440731,,,
l6282,86.926361;-6.534679;-1.788557,,,
l6283,94.293633;-6.109346;-1.720340,,,
l6284,97.106697;-5.578853;-1.676454,,,
l6285,92.736595;14.948247;-0.653881,,,
l6288,102.406128;13.756949;-0.668623,,,
l6289,98.662994;15.029201;-0.618988,,,
l6290,111.895256;-5.486388;-1.550077,,,
l6291,108.424614;14.695912;-0.574348,,,
l6292,84.140289;-6.931874;-0.981517,,,
l6293,88.944656;-6.062761;-1.036064,,,
l6294,99.922791;-5.844417;-1.077826,,,
l6295,100.305054;-5.199048;-1.042355,,,
l6296,92.549690;14.369160;-0.180282,,,
l6298,83.700241;-6.311665;-0.745197,,,
l6299,104.921089;14.354522;0.126453,,,
l6300,110.737679;-6.027478;-0.764264,,,
l6301,114.447487;-4.603426;-0.594577,,,
l6303,115.185265;14.000858;0.388793,,,
l6304,77.786400;13.823401;0.804697,,,
l6305,98.929733;14.375132;0.600387,,,
l6306,87.893433;-5.104694;0.270121,,,
l6307,108.474953;-4.369397;0.000415,,,
l6308,93.221458;-4.852563;0.530688,,,
l6310,101.139473;-5.529928;1.426873,,,
l6311,83.361160;-4.723000;1.687426,,,
l6312,115.890450;14.000449;2.347364,,,
l6313,101.616371;-5.098483;2.119407,,,
l6314,107.595490;-5.310388;2.180579,,,
l6315,103.024895;-4.795734;2.319354,,,
l6316,89.048248;13.314686;3.226951,,,
l6317,94.537254;-5.647592;2.603953,,,
l6318,94.324959;-4.837245;3.035885,,,
l6319,98.990898;-4.614411;2.915968,,,
l6320,114.789597;-3.425932;3.082105,,,
l6321,103.117775;10.689832;3.964682,,,
l6322,94.525444;-4.423186;3.566674,,,
l6323,116.146393;10.923438;4.072015,,,
l6324,115.298088;11.826474;4.048276,,,
l6326,117.077446;10.641099;4.156728,,,
l6327,105.142593;-4.352805;4.041477,,,
l6328,114.872910;-1.751882;4.068095,,,
l6329,109.039154;8.792283;4.704685,,,
l6331,121.902290;10.220003;4.681953,,,
l6334,103.523766;-4.383296;4.426011,,,
l6336,114.948441;1.523260;5.148437,,,
l6338,120.997986;9.167240;5.567851,,,
l6339,97.473808;-2.468724;5.426631,,,
l6341,98.351257;-1.480073;5.707804,,,
l6342,100.236229;-1.165984;5.657369,,,
l6343,112.264656;4.754293;5.778565,,,
l6344,108.141579;7.600285;6.048417,,,
l6345,103.389137;2.693485;6.041106,,,
l6346,113.118263;4.294248;5.904188,,,
l6347,108.996086;5.154343;6.012840,,,
l6348,118.694298;6.327620;6.056283,,,
l6349,118.027985;7.309779;6.020775,,,
l6350,108.657440;7.302133;6.125913,,,
l6351,101.600571;0.251818;6.092576,,,
l6352,119.975838;4.217350;6.122796,,,
l6353,109.934753;4.307971;6.143128,,,
l6354,119.456528;4.944825;6.085123,,,
l6355,115.186775;3.909774;6.260826,,,
l6356,107.210640;4.129678;6.336980,,,
l6357,105.298103;3.890126;6.613442,,,
l6527,104.831375;14.919783;-1.370042,,,
l6532,91.063599;-5.980247;-1.225133,,,
l6533,118.455475;14.930410;-0.530496,,,
l6534,112.930161;-4.854022;-0.773375,,,
l6535,82.098778;13.476031;0.270297,,,
l6536,106.899483;14.596198;0.027596,,,
l6537,81.307411;13.247954;0.513747,,,
l6541,103.248116;13.867675;1.145713,,,
l6543,102.994629;-4.942304;0.597152,,,
l6545,125.048714;-4.097919;0.730850,,,
l6548,90.921745;-5.094131;1.723684,,,
l6549,111.626167;13.020528;2.485340,,,
l6550,110.867744;13.061722;2.417142,,,
l6551,112.476051;12.999543;2.564179,,,
l6553,91.967407;-5.401328;2.355245,,,
l6554,114.477554;-4.338863;2.586307,,,
l6555,121.938118;-4.136738;2.518221,,,
l6557,120.521088;13.598481;3.383748,,,
l6559,108.465340;12.385047;3.614358,,,
l6560,122.580009;13.129715;3.547265,,,
l6561,121.825424;13.320595;3.488511,,,
l6562,120.562721;-3.793719;3.349701,,,
l6565,101.165810;-4.559272;3.692076,,,
l6566,120.375389;12.014621;4.234954,,,
l6569,106.785294;11.205410;4.679348,,,
l6571,124.999809;10.932691;4.704583,,,
l6574,108.450966;-2.278713;4.710241,,,
