key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,0.000027;-0.000430;0.000448;-0.000021;0.000005;-0.000893
b1,,,,0.000071;-0.001120;0.001180;-0.000021;0.000005;-0.000898
b2,,,,0.000133;-0.002064;0.002205;-0.000020;0.000005;-0.000905
b3,,,,0.000215;-0.003391;0.003615;-0.000018;0.000006;-0.000910
b4,,,,0.000228;-0.003631;0.003858;-0.000017;0.000006;-0.000912
b5,,,,0.000269;-0.004496;0.004684;-0.000012;0.000006;-0.000919
b6,,,,0.000299;-0.005164;0.005263;-0.000007;0.000006;-0.000925
b7,,,,0.000309;-0.005389;0.005446;-0.000005;0.000006;-0.000927
b8,,,,0.000328;-0.005860;0.005813;-0.000001;0.000006;-0.000930
b9,,,,0.000352;-0.006527;0.006294;0.000006;0.000005;-0.000935
b10,,,,0.000372;-0.007223;0.006752;0.000013;0.000005;-0.000940
b11,,,,0.000383;-0.007947;0.007187;0.000020;0.000005;-0.000945
b12,,,,0.000384;-0.008638;0.007567;0.000027;0.000005;-0.000950
b13,,,,0.000458;-0.009381;0.007941;0.000035;0.000004;-0.000953
b14,,,,0.000437;-0.010328;0.008366;0.000044;0.000006;-0.000958
b15,,,,0.000412;-0.011083;0.008664;0.000051;0.000010;-0.000962
b16,,,,0.000381;-0.011804;0.008918;0.000057;0.000014;-0.000965
b17,,,,0.000328;-0.012826;0.009232;0.000064;0.000022;-0.000969
b18,,,,0.000273;-0.013819;0.009491;0.000069;0.000033;-0.000972
b19,,,,0.000223;-0.014865;0.009720;0.000071;0.000047;-0.000975
b20,,,,0.000200;-0.015618;0.009858;0.000071;0.000059;-0.000977
b21,,,,0.000191;-0.016680;0.010016;0.000069;0.000078;-0.000979
b22,,,,0.000206;-0.017464;0.010109;0.000066;0.000093;-0.000980
b23,,,,0.000239;-0.018250;0.010185;0.000062;0.000108;-0.000980
b24,,,,0.000314;-0.019295;0.010261;0.000055;0.000128;-0.000981
b25,,,,0.000392;-0.020054;0.010300;0.000049;0.000141;-0.000981
b26,,,,0.000457;-0.020573;0.010321;0.000043;0.000149;-0.000981
b27,,,,0.000562;-0.021352;0.010343;0.000035;0.000160;-0.000981
b28,,,,0.000673;-0.022131;0.010355;0.000025;0.000169;-0.000980
b29,,,,0.000792;-0.022930;0.010359;0.000014;0.000176;-0.000979
b30,,,,0.000906;-0.023684;0.010357;0.000002;0.000182;-0.000978
b31,,,,0.001021;-0.024459;0.010350;-0.000011;0.000185;-0.000976
b32,,,,0.001130;-0.025254;0.010340;-0.000026;0.000187;-0.000974
b33,,,,0.001255;-0.026258;0.010325;-0.000047;0.000187;-0.000971
b34,,,,0.001351;-0.027014;0.010314;-0.000063;0.000186;-0.000969
b35,,,,0.001449;-0.027777;0.010306;-0.000081;0.000182;-0.000966
b36,,,,0.001538;-0.028486;0.010304;-0.000097;0.000178;-0.000963
b37,,,,0.001626;-0.029223;0.010310;-0.000114;0.000172;-0.000959
