key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,0.000021;-0.000430;0.000383;0.000005;0.000660;-0.000634
b1,,,,0.000063;-0.001120;0.001018;0.000005;0.000664;-0.000637
b2,,,,0.000146;-0.002069;0.001933;0.000006;0.000670;-0.000642
b3,,,,0.000309;-0.003425;0.003243;0.000009;0.000677;-0.000649
b4,,,,0.000344;-0.003674;0.003472;0.000010;0.000678;-0.000651
b5,,,,0.000480;-0.004579;0.004262;0.000014;0.000681;-0.000655
b6,,,,0.000590;-0.005280;0.004828;0.000018;0.000682;-0.000658
b7,,,,0.000669;-0.005772;0.005200;0.000021;0.000683;-0.000660
b8,,,,0.000816;-0.006706;0.005859;0.000027;0.000682;-0.000664
b9,,,,0.000925;-0.007430;0.006328;0.000032;0.000680;-0.000666
b10,,,,0.001029;-0.008180;0.006780;0.000038;0.000677;-0.000669
b11,,,,0.001121;-0.008894;0.007181;0.000043;0.000673;-0.000671
b12,,,,0.001244;-0.009879;0.007690;0.000048;0.000666;-0.000673
b13,,,,0.001336;-0.010620;0.008041;0.000052;0.000660;-0.000675
b14,,,,0.001431;-0.011382;0.008375;0.000055;0.000652;-0.000677
b15,,,,0.001551;-0.012350;0.008759;0.000059;0.000642;-0.000679
b16,,,,0.001646;-0.013113;0.009029;0.000062;0.000633;-0.000680
b17,,,,0.001740;-0.013856;0.009264;0.000064;0.000624;-0.000682
b18,,,,0.001834;-0.014579;0.009468;0.000066;0.000614;-0.000683
b19,,,,0.001930;-0.015328;0.009652;0.000067;0.000603;-0.000684
b20,,,,0.002025;-0.016082;0.009811;0.000068;0.000591;-0.000685
b21,,,,0.002123;-0.016861;0.009947;0.000068;0.000577;-0.000685
b22,,,,0.002217;-0.017625;0.010054;0.000067;0.000564;-0.000685
b23,,,,0.002310;-0.018394;0.010136;0.000066;0.000549;-0.000685
b24,,,,0.002399;-0.019147;0.010192;0.000064;0.000535;-0.000685
b25,,,,0.002518;-0.020186;0.010230;0.000059;0.000514;-0.000684
b26,,,,0.002576;-0.020707;0.010232;0.000056;0.000503;-0.000684
b27,,,,0.002655;-0.021491;0.010215;0.000049;0.000486;-0.000683
b28,,,,0.002725;-0.022276;0.010176;0.000042;0.000468;-0.000681
b29,,,,0.002789;-0.023086;0.010116;0.000032;0.000450;-0.000680
